	first_name	last_name	grid_iden	freq	full_name
108	Ahmed Abd El	Wahed	grid.9647.c	4	a_wahed
109	Ronald	Dijkman	grid.5734.5	4	r_dijkman
110	Claudia	Höbartner	grid.8379.5	4	c_hoebartner
111	Hauke S.	Hillen	grid.411984.1	4	h_hillen
112	Elsa	Bernard	grid.51462.34	4	e_bernard
113	Juan S.	Medina-Martinez	grid.51462.34	4	j_medina-martinez
114	Max F.	Levine	grid.51462.34	4	m_levine
115	Juan E.	Arango	grid.51462.34	4	j_arango
116	Yangyu	Zhou	grid.51462.34	4	y_zhou
117	Elli	Papaemmanuil	grid.51462.34	4	e_papaemmanuil
118	Weng Khong	Lim	grid.453420.4	4	w_lim
119	Erich D.	Jarvis	grid.134907.8	4	e_jarvis
120	Dongdong	Wu	grid.419010.d	4	d_wu
121	Rüdiger	Groß	grid.410712.1	4	r_gross
122	Armin	Ensser	grid.411668.c	4	a_ensser
123	Francis	Berenbaum	grid.462844.8	4	f_berenbaum
124	Alí	Duarte-García	grid.66875.3a	4	a_duarte-garcía
125	Cristian	Setz	grid.411984.1	4	c_setz
126	Anita	Krisko	grid.411984.1	4	a_krisko
127	Stefan D.	Anker	grid.6363.0	4	s_anker
128	Johannes	Zierenberg	grid.419514.c	4	j_zierenberg
129	Michael	Wibral	grid.7450.6	4	m_wibral
130	Michael	Wilczek	grid.419514.c	4	m_wilczek
131	Viola	Priesemann	grid.7450.6	4	v_priesemann
132	Julian	Schwanbeck	grid.411984.1	4	j_schwanbeck
133	Matthias	Goebeler	grid.411760.5	4	m_goebeler
134	Enno	Schmidt	grid.4562.5	4	e_schmidt
135	Sandra	Ciesek		4	s_ciesek
136	Stefan	Kluge	grid.13648.38	4	s_kluge
137	Martin Sebastian	Winkler	grid.7450.6	4	m_winkler
138	Sami Al	Kasab	grid.259828.c	4	s_kasab
139	Matthias	Dobbelstein	grid.411984.1	4	m_dobbelstein
140	Jens	Wiltfang	grid.411984.1	4	j_wiltfang
141	Lucas	Farnung	grid.418140.8	4	l_farnung
142	Ramin	Golestanian	grid.419514.c	4	r_golestanian
143	Ramin	Golestanian	grid.4991.5	4	r_golestanian
144	Michael	Klein	grid.275559.9	4	m_klein
145	Matthias	Tenbusch	grid.411668.c	4	m_tenbusch
146	Michael	Bernhofer	grid.6936.a	4	m_bernhofer
147	Christian	Dallago	grid.6936.a	4	c_dallago
148	Venkata	Satagopam	grid.16008.3f	4	v_satagopam
149	Michael	Heinzinger	grid.6936.a	4	m_heinzinger
150	Wei	Gu	grid.16008.3f	4	w_gu
151	Yohan	Jarosz	grid.16008.3f	4	y_jarosz
152	Christophe	Trefois	grid.16008.3f	4	c_trefois
153	Reinhard	Schneider	grid.16008.3f	4	r_schneider
154	Christian R.	Schultze-Florey	grid.10423.34	4	c_schultze-florey
155	Nina	Gödecke	grid.10423.34	4	n_goedecke
156	Rainer	Blasczyk	grid.10423.34	4	r_blasczyk
157	Thomas F.	Schulz	grid.10423.34	4	t_schulz
158	Philipp M.	Lepper	grid.11749.3a	3	p_lepper
159	Guy	Danziger	grid.11749.3a	3	g_danziger
160	Robert	Bals	grid.11749.3a	3	r_bals
161	Patrick Y. A.	Reinke	grid.466493.a	3	p_reinke
162	Yaiza	Fernández-García	grid.424065.1	3	y_fernández-garcía
163	Julia	Lieske	grid.466493.a	3	j_lieske
164	Christiane	Ehrt	grid.9026.d	3	c_ehrt
165	Dominik	Oberthuer	grid.466493.a	3	d_oberthuer
166	Oleksandr	Yefanov	grid.466493.a	3	o_yefanov
167	Boris	Krichel	grid.418481.0	3	b_krichel
168	Luca	Gelisio	grid.466493.a	3	l_gelisio
169	Wolfgang	Brehm	grid.466493.a	3	w_brehm
170	Brandon	Seychell	grid.9026.d	3	b_seychell
171	Brenna	Norton-Baker	grid.469852.4	3	b_norton-baker
172	Beatriz	Escudero-Pérez	grid.424065.1	3	b_escudero-pérez
173	Martin	Domaracky	grid.466493.a	3	m_domaracky
174	Sofiane	Saouane	grid.7683.a	3	s_saouane
175	Alexandra	Tolstikova	grid.466493.a	3	a_tolstikova
176	Thomas A.	White	grid.466493.a	3	t_white
177	Michael	Groessler	grid.466493.a	3	m_groessler
178	Holger	Fleckenstein	grid.466493.a	3	h_fleckenstein
179	Fabian	Trost	grid.466493.a	3	f_trost
180	Marina	Galchenkova	grid.466493.a	3	m_galchenkova
181	Yaroslav	Gevorkov	grid.466493.a	3	y_gevorkov
182	Yaroslav	Gevorkov	grid.6884.2	3	y_gevorkov
183	Chufeng	Li	grid.466493.a	3	c_li
184	Salah	Awel	grid.466493.a	3	s_awel
185	Ariana	Peck	grid.20861.3d	3	a_peck
186	Miriam	Barthelmess	grid.466493.a	3	m_barthelmess
187	Frank	Schlünzen	grid.466493.a	3	f_schluenzen
188	P. Lourdu	Xavier	grid.466493.a	3	p_xavier
