	id	main_affiliation	for_v1_first_level	for_v1_second_level
273	pub.1127536832	grid.239395.7	Medical and Health Sciences	Public Health and Health Services
274	pub.1127536832	grid.411702.1	Medical and Health Sciences	Public Health and Health Services
275	pub.1127536832	grid.4991.5	Medical and Health Sciences	Public Health and Health Services
276	pub.1127536832	grid.16821.3c	Medical and Health Sciences	Public Health and Health Services
277	pub.1127536832	grid.59053.3a	Medical and Health Sciences	Public Health and Health Services
278	pub.1127536832	grid.417423.7	Medical and Health Sciences	Public Health and Health Services
279	pub.1127575474	grid.13648.38	Medical and Health Sciences	
280	pub.1127575474	grid.411984.1	Medical and Health Sciences	
281	pub.1127578315	grid.5330.5	Technology	Medical Biotechnology
282	pub.1127578315	grid.411668.c	Technology	Medical Biotechnology
283	pub.1127578315	grid.489540.4	Technology	Medical Biotechnology
284	pub.1127578315	grid.418215.b	Technology	Medical Biotechnology
285	pub.1127594600	grid.458458.0	Medical and Health Sciences	Medical Microbiology
286	pub.1127626783	grid.419514.c	Medical and Health Sciences	Public Health and Health Services
287	pub.1127626783	grid.7450.6	Medical and Health Sciences	Public Health and Health Services
288	pub.1127634639	grid.411984.1	Medical and Health Sciences	Oncology and Carcinogenesis
289	pub.1127634639	grid.411984.1	Medical and Health Sciences	Public Health and Health Services
290	pub.1127634639	grid.275559.9	Medical and Health Sciences	Oncology and Carcinogenesis
291	pub.1127634639	grid.275559.9	Medical and Health Sciences	Public Health and Health Services
292	pub.1127634639	grid.489540.4	Medical and Health Sciences	Oncology and Carcinogenesis
293	pub.1127634639	grid.489540.4	Medical and Health Sciences	Public Health and Health Services
294	pub.1127764022	grid.418140.8	Biological Sciences	Biochemistry and Cell Biology
295	pub.1127764645	grid.410458.c	Medical and Health Sciences	Clinical Sciences
296	pub.1127764645	grid.55602.34	Medical and Health Sciences	Clinical Sciences
297	pub.1127764645	grid.27530.33	Medical and Health Sciences	Clinical Sciences
