	id	main_affiliation	for_v1_first_level	for_v1_second_level
593	pub.1129330280	grid.7445.2	Medical and Health Sciences	Clinical Sciences
594	pub.1129330280	grid.7445.2	Medical and Health Sciences	Neurosciences
595	pub.1129330280	grid.488779.d	Medical and Health Sciences	Clinical Sciences
596	pub.1129330280	grid.488779.d	Medical and Health Sciences	Neurosciences
597	pub.1129330280	grid.414382.8	Medical and Health Sciences	Clinical Sciences
598	pub.1129330280	grid.414382.8	Medical and Health Sciences	Neurosciences
599	pub.1129330280	grid.412220.7	Medical and Health Sciences	Clinical Sciences
600	pub.1129330280	grid.412220.7	Medical and Health Sciences	Neurosciences
601	pub.1129330280	grid.462844.8	Medical and Health Sciences	Clinical Sciences
602	pub.1129330280	grid.462844.8	Medical and Health Sciences	Neurosciences
603	pub.1129330280	grid.18887.3e	Medical and Health Sciences	Clinical Sciences
604	pub.1129330280	grid.18887.3e	Medical and Health Sciences	Neurosciences
605	pub.1129362640	grid.10423.34	Medical and Health Sciences	Clinical Sciences
606	pub.1129362640	grid.418215.b	Medical and Health Sciences	Clinical Sciences
607	pub.1129381955	grid.7468.d	Medical and Health Sciences	Medical Microbiology
608	pub.1129381955	grid.418215.b	Medical and Health Sciences	Medical Microbiology
609	pub.1129381955	grid.6363.0	Medical and Health Sciences	Medical Microbiology
610	pub.1129381955	grid.452463.2	Medical and Health Sciences	Medical Microbiology
611	pub.1129381955	grid.5734.5	Medical and Health Sciences	Medical Microbiology
612	pub.1129381955	grid.438536.f	Medical and Health Sciences	Medical Microbiology
613	pub.1129381955	grid.13652.33	Medical and Health Sciences	Medical Microbiology
614	pub.1129386398	grid.411984.1	Medical and Health Sciences	Clinical Sciences
615	pub.1129386398	grid.411984.1	Medical and Health Sciences	Immunology
616	pub.1129386398	grid.411984.1	Medical and Health Sciences	Public Health and Health Services
617	pub.1129392550	grid.34477.33	Medical and Health Sciences	Immunology
618	pub.1129392550	grid.482283.7	Medical and Health Sciences	Immunology
619	pub.1129392550	grid.419514.c	Medical and Health Sciences	Immunology
620	pub.1129392550	grid.415229.9	Medical and Health Sciences	Immunology
621	pub.1129392550	grid.214007.0	Medical and Health Sciences	Immunology
622	pub.1129392550	grid.194645.b	Medical and Health Sciences	Immunology
623	pub.1129392550	grid.35403.31	Medical and Health Sciences	Immunology
624	pub.1129411242	grid.460019.a	Medical and Health Sciences	Clinical Sciences
625	pub.1129411242	grid.8379.5	Medical and Health Sciences	Clinical Sciences
626	pub.1129411242	grid.419801.5	Medical and Health Sciences	Clinical Sciences
627	pub.1129411242	grid.419833.4	Medical and Health Sciences	Clinical Sciences
628	pub.1129411242	grid.459927.4	Medical and Health Sciences	Clinical Sciences
629	pub.1129411242	grid.10423.34	Medical and Health Sciences	Clinical Sciences
630	pub.1129411242	grid.275559.9	Medical and Health Sciences	Clinical Sciences
631	pub.1129411242	grid.1957.a	Medical and Health Sciences	Clinical Sciences
632	pub.1129411242	grid.500048.9	Medical and Health Sciences	Clinical Sciences
633	pub.1129411242	grid.492033.f	Medical and Health Sciences	Clinical Sciences
634	pub.1129411242	grid.411984.1	Medical and Health Sciences	Clinical Sciences
635	pub.1129411242	grid.6363.0	Medical and Health Sciences	Clinical Sciences
636	pub.1129480028	grid.7048.b	Medical and Health Sciences	Medical Microbiology
637	pub.1129480028	grid.154185.c	Medical and Health Sciences	Medical Microbiology
638	pub.1129480028	grid.465524.4	Medical and Health Sciences	Medical Microbiology
639	pub.1129480028	grid.4991.5	Medical and Health Sciences	Medical Microbiology
640	pub.1129480028	grid.414148.c	Medical and Health Sciences	Medical Microbiology
641	pub.1129480028	grid.28046.38	Medical and Health Sciences	Medical Microbiology
642	pub.1129480028	grid.249335.a	Medical and Health Sciences	Medical Microbiology
643	pub.1129480028	grid.5254.6	Medical and Health Sciences	Medical Microbiology
644	pub.1129480028	grid.411984.1	Medical and Health Sciences	Medical Microbiology
645	pub.1129480028	grid.21155.32	Medical and Health Sciences	Medical Microbiology
646	pub.1129480028	grid.452606.3	Medical and Health Sciences	Medical Microbiology
647	pub.1129486798	grid.7450.6	Engineering	Biomedical Engineering
648	pub.1129486798	grid.7450.6	Medical and Health Sciences	Clinical Sciences
649	pub.1129507005	grid.411984.1	Medical and Health Sciences	Medical Microbiology
650	pub.1129507005	grid.418140.8	Medical and Health Sciences	Medical Microbiology
651	pub.1129535099	grid.418215.b	Medical and Health Sciences	Medical Microbiology
652	pub.1129535099	grid.452463.2	Medical and Health Sciences	Medical Microbiology
653	pub.1129535099	grid.10388.32	Medical and Health Sciences	Medical Microbiology
654	pub.1129535099	grid.7468.d	Medical and Health Sciences	Medical Microbiology
655	pub.1129540973	grid.411984.1	Medical and Health Sciences	Neurosciences
656	pub.1129565167	grid.420061.1	Mathematical Sciences	Statistics
657	pub.1129565167	grid.497524.9	Mathematical Sciences	Statistics
658	pub.1129565167	grid.22937.3d	Mathematical Sciences	Statistics
659	pub.1129565167	grid.7372.1	Mathematical Sciences	Statistics
660	pub.1129565167	grid.5342.0	Mathematical Sciences	Statistics
661	pub.1129565167	grid.418424.f	Mathematical Sciences	Statistics
662	pub.1129565167	grid.417925.c	Mathematical Sciences	Statistics
663	pub.1129565167	grid.420044.6	Mathematical Sciences	Statistics
664	pub.1129565167	grid.411984.1	Mathematical Sciences	Statistics
665	pub.1129567644	grid.483420.9	Medical and Health Sciences	Public Health and Health Services
666	pub.1129567644	grid.415044.0	Medical and Health Sciences	Public Health and Health Services
667	pub.1129567644	grid.411984.1	Medical and Health Sciences	Public Health and Health Services
668	pub.1129567644	grid.38142.3c	Medical and Health Sciences	Public Health and Health Services
669	pub.1129567644	grid.2515.3	Medical and Health Sciences	Public Health and Health Services
670	pub.1129571738	grid.5570.7	Medical and Health Sciences	Immunology
671	pub.1129571738	grid.5570.7	Medical and Health Sciences	Medical Microbiology
672	pub.1129571738	grid.267313.2	Medical and Health Sciences	Immunology
673	pub.1129571738	grid.267313.2	Medical and Health Sciences	Medical Microbiology
674	pub.1129571738	grid.134907.8	Medical and Health Sciences	Immunology
675	pub.1129571738	grid.134907.8	Medical and Health Sciences	Medical Microbiology
676	pub.1129571738	grid.5734.5	Medical and Health Sciences	Immunology
677	pub.1129571738	grid.5734.5	Medical and Health Sciences	Medical Microbiology
678	pub.1129571738	grid.438536.f	Medical and Health Sciences	Immunology
679	pub.1129571738	grid.438536.f	Medical and Health Sciences	Medical Microbiology
680	pub.1129571738	grid.418215.b	Medical and Health Sciences	Immunology
681	pub.1129571738	grid.418215.b	Medical and Health Sciences	Medical Microbiology
682	pub.1129571738	grid.189504.1	Medical and Health Sciences	Immunology
683	pub.1129571738	grid.189504.1	Medical and Health Sciences	Medical Microbiology
684	pub.1129571738	grid.164971.c	Medical and Health Sciences	Immunology
685	pub.1129571738	grid.164971.c	Medical and Health Sciences	Medical Microbiology
686	pub.1129579425	grid.34477.33	Medical and Health Sciences	Immunology
687	pub.1129579425	grid.482283.7	Medical and Health Sciences	Immunology
688	pub.1129579425	grid.419514.c	Medical and Health Sciences	Immunology
689	pub.1129579425	grid.415229.9	Medical and Health Sciences	Immunology
690	pub.1129579425	grid.214007.0	Medical and Health Sciences	Immunology
691	pub.1129579425	grid.194645.b	Medical and Health Sciences	Immunology
692	pub.1129579425	grid.35403.31	Medical and Health Sciences	Immunology
693	pub.1129584790	grid.7450.6	Philosophy and Religious Studies	Religion and Religious Studies
694	pub.1129664214	grid.490185.1	Medical and Health Sciences	Clinical Sciences
695	pub.1129664214	grid.490185.1	Medical and Health Sciences	Immunology
696	pub.1129664214	grid.440220.0	Medical and Health Sciences	Clinical Sciences
697	pub.1129664214	grid.440220.0	Medical and Health Sciences	Immunology
698	pub.1129664214	grid.433867.d	Medical and Health Sciences	Clinical Sciences
699	pub.1129664214	grid.433867.d	Medical and Health Sciences	Immunology
700	pub.1129664214	grid.411984.1	Medical and Health Sciences	Clinical Sciences
701	pub.1129664214	grid.411984.1	Medical and Health Sciences	Immunology
702	pub.1129665412	grid.411984.1	Medical and Health Sciences	Immunology
703	pub.1129665412	grid.4488.0	Medical and Health Sciences	Immunology
704	pub.1129665412	grid.411559.d	Medical and Health Sciences	Immunology
705	pub.1129665412	grid.411760.5	Medical and Health Sciences	Immunology
706	pub.1129665412	grid.10253.35	Medical and Health Sciences	Immunology
707	pub.1129665412	grid.411097.a	Medical and Health Sciences	Immunology
708	pub.1129665412	grid.13648.38	Medical and Health Sciences	Immunology
709	pub.1129665412	grid.4562.5	Medical and Health Sciences	Immunology
710	pub.1129665412	grid.5330.5	Medical and Health Sciences	Immunology
711	pub.1129665412	grid.461820.9	Medical and Health Sciences	Immunology
712	pub.1129665412	grid.419801.5	Medical and Health Sciences	Immunology
713	pub.1129665412	grid.10423.34	Medical and Health Sciences	Immunology
714	pub.1129665412	grid.10388.32	Medical and Health Sciences	Immunology
715	pub.1129665412	grid.6363.0	Medical and Health Sciences	Immunology
716	pub.1129670106	grid.419514.c	Economics	Applied Economics
717	pub.1129670106	grid.4991.5	Economics	Applied Economics
718	pub.1129673636	grid.418215.b	Biological Sciences	Biochemistry and Cell Biology
719	pub.1129673636	grid.411668.c	Biological Sciences	Biochemistry and Cell Biology
720	pub.1129673636	grid.10493.3f	Biological Sciences	Biochemistry and Cell Biology
721	pub.1129684001	grid.7450.6	Information and Computing Sciences	Information Systems
722	pub.1129684001	grid.7450.6	Commerce, Management, Tourism and Services	Business and Management
723	pub.1129684001	grid.9835.7	Information and Computing Sciences	Information Systems
724	pub.1129684001	grid.9835.7	Commerce, Management, Tourism and Services	Business and Management
725	pub.1129684001	grid.221309.b	Information and Computing Sciences	Information Systems
726	pub.1129684001	grid.221309.b	Commerce, Management, Tourism and Services	Business and Management
727	pub.1129824693	grid.16753.36	Medical and Health Sciences	Public Health and Health Services
728	pub.1129824693	grid.47100.32	Medical and Health Sciences	Public Health and Health Services
729	pub.1129824693	grid.42327.30	Medical and Health Sciences	Public Health and Health Services
730	pub.1129824693	grid.4367.6	Medical and Health Sciences	Public Health and Health Services
731	pub.1129824693	grid.239915.5	Medical and Health Sciences	Public Health and Health Services
732	pub.1129824693	grid.462844.8	Medical and Health Sciences	Public Health and Health Services
733	pub.1129824693	grid.265892.2	Medical and Health Sciences	Public Health and Health Services
734	pub.1129824693	grid.411984.1	Medical and Health Sciences	Public Health and Health Services
735	pub.1129824693	grid.66875.3a	Medical and Health Sciences	Public Health and Health Services
736	pub.1129824693	grid.62560.37	Medical and Health Sciences	Public Health and Health Services
737	pub.1129824693	grid.4991.5	Medical and Health Sciences	Public Health and Health Services
738	pub.1129824693	grid.264727.2	Medical and Health Sciences	Public Health and Health Services
739	pub.1129824693	grid.22072.35	Medical and Health Sciences	Public Health and Health Services
740	pub.1129824693	grid.253615.6	Medical and Health Sciences	Public Health and Health Services
741	pub.1129824693	grid.34477.33	Medical and Health Sciences	Public Health and Health Services
742	pub.1129824693	grid.29980.3a	Medical and Health Sciences	Public Health and Health Services
743	pub.1129824693	grid.38142.3c	Medical and Health Sciences	Public Health and Health Services
744	pub.1129870290	grid.507621.7	Agricultural and Veterinary Sciences	Crop and Pasture Production
745	pub.1129870290	grid.507621.7	Engineering	Food Sciences
746	pub.1129870290	grid.4280.e	Agricultural and Veterinary Sciences	Crop and Pasture Production
747	pub.1129870290	grid.4280.e	Engineering	Food Sciences
748	pub.1129870290	grid.4818.5	Agricultural and Veterinary Sciences	Crop and Pasture Production
749	pub.1129870290	grid.4818.5	Engineering	Food Sciences
750	pub.1129870290	grid.49697.35	Agricultural and Veterinary Sciences	Crop and Pasture Production
751	pub.1129870290	grid.49697.35	Engineering	Food Sciences
752	pub.1129870290	grid.7450.6	Agricultural and Veterinary Sciences	Crop and Pasture Production
753	pub.1129870290	grid.7450.6	Engineering	Food Sciences
754	pub.1129870290	grid.264601.7	Agricultural and Veterinary Sciences	Crop and Pasture Production
755	pub.1129870290	grid.264601.7	Engineering	Food Sciences
756	pub.1129897197	grid.411984.1	Medical and Health Sciences	Immunology
757	pub.1129897197	grid.5330.5	Medical and Health Sciences	Immunology
758	pub.1129897197	grid.6936.a	Medical and Health Sciences	Immunology
759	pub.1129897197	grid.4567.0	Medical and Health Sciences	Immunology
760	pub.1129897197	grid.6363.0	Medical and Health Sciences	Immunology
761	pub.1129897197	grid.411760.5	Medical and Health Sciences	Immunology
762	pub.1129897197	grid.4562.5	Medical and Health Sciences	Immunology
763	pub.1129897197	grid.5253.1	Medical and Health Sciences	Immunology
764	pub.1129897197	grid.150338.c	Medical and Health Sciences	Immunology
765	pub.1129897197	grid.22937.3d	Medical and Health Sciences	Immunology
766	pub.1129897197	grid.411097.a	Medical and Health Sciences	Immunology
767	pub.1129897197	grid.5949.1	Medical and Health Sciences	Immunology
768	pub.1129903168	grid.430666.1	Medical and Health Sciences	Clinical Sciences
769	pub.1129903168	grid.430666.1	Medical and Health Sciences	Immunology
770	pub.1129903168	grid.430666.1	Medical and Health Sciences	Public Health and Health Services
771	pub.1129903168	grid.21107.35	Medical and Health Sciences	Clinical Sciences
772	pub.1129903168	grid.21107.35	Medical and Health Sciences	Immunology
773	pub.1129903168	grid.21107.35	Medical and Health Sciences	Public Health and Health Services
774	pub.1129903168	grid.411984.1	Medical and Health Sciences	Clinical Sciences
775	pub.1129903168	grid.411984.1	Medical and Health Sciences	Immunology
776	pub.1129903168	grid.411984.1	Medical and Health Sciences	Public Health and Health Services
777	pub.1129903168	grid.462844.8	Medical and Health Sciences	Clinical Sciences
778	pub.1129903168	grid.462844.8	Medical and Health Sciences	Immunology
779	pub.1129903168	grid.462844.8	Medical and Health Sciences	Public Health and Health Services
780	pub.1129903168	grid.4367.6	Medical and Health Sciences	Clinical Sciences
781	pub.1129903168	grid.4367.6	Medical and Health Sciences	Immunology
782	pub.1129903168	grid.4367.6	Medical and Health Sciences	Public Health and Health Services
783	pub.1129903168	grid.62560.37	Medical and Health Sciences	Clinical Sciences
784	pub.1129903168	grid.62560.37	Medical and Health Sciences	Immunology
785	pub.1129903168	grid.62560.37	Medical and Health Sciences	Public Health and Health Services
786	pub.1129912096	grid.418215.b	Medical and Health Sciences	Medical Microbiology
787	pub.1129912096	grid.420451.6	Medical and Health Sciences	Medical Microbiology
788	pub.1129912096	grid.7048.b	Medical and Health Sciences	Medical Microbiology
789	pub.1129912096	grid.411984.1	Medical and Health Sciences	Medical Microbiology
790	pub.1129912096	grid.14095.39	Medical and Health Sciences	Medical Microbiology
791	pub.1129912096	grid.459873.4	Medical and Health Sciences	Medical Microbiology
792	pub.1129912096	grid.5949.1	Medical and Health Sciences	Medical Microbiology
793	pub.1129912096	grid.225279.9	Medical and Health Sciences	Medical Microbiology
794	pub.1129925107	grid.7450.6	Studies in Human Society	Political Science
795	pub.1129925107	grid.470779.a	Studies in Human Society	Political Science
796	pub.1129936821	grid.415093.a	Medical and Health Sciences	Clinical Sciences
797	pub.1129936821	grid.4708.b	Medical and Health Sciences	Clinical Sciences
798	pub.1129936821	grid.7450.6	Medical and Health Sciences	Clinical Sciences
799	pub.1129991152	grid.411984.1	Medical and Health Sciences	Immunology
800	pub.1129991152	grid.411984.1	Medical and Health Sciences	Neurosciences
801	pub.1130052340	grid.7490.a	Biological Sciences	Genetics
802	pub.1130052340	grid.418215.b	Biological Sciences	Genetics
803	pub.1130052340	grid.5949.1	Biological Sciences	Genetics
804	pub.1130052340	grid.5807.a	Biological Sciences	Genetics
805	pub.1130128326	grid.5963.9	Medical and Health Sciences	
806	pub.1130128326	grid.5155.4	Medical and Health Sciences	
807	pub.1130128326	grid.4989.c	Medical and Health Sciences	
808	pub.1130128326	grid.411760.5	Medical and Health Sciences	
809	pub.1130128326	grid.470122.2	Medical and Health Sciences	
810	pub.1130128326	grid.411798.2	Medical and Health Sciences	
811	pub.1130128326	grid.491928.f	Medical and Health Sciences	
812	pub.1130128326	grid.410712.1	Medical and Health Sciences	
813	pub.1130128326	grid.411984.1	Medical and Health Sciences	
814	pub.1130128326	grid.412966.e	Medical and Health Sciences	
815	pub.1130128326	grid.11749.3a	Medical and Health Sciences	
816	pub.1130153559	grid.13648.38	Medical and Health Sciences	
817	pub.1130153559	grid.7450.6	Medical and Health Sciences	
818	pub.1130153559	grid.411984.1	Medical and Health Sciences	
819	pub.1130167203	grid.1957.a	Medical and Health Sciences	Neurosciences
820	pub.1130167203	grid.411984.1	Medical and Health Sciences	Neurosciences
821	pub.1130204521	grid.411984.1	Medical and Health Sciences	Clinical Sciences
822	pub.1130216912	grid.7450.6	Biological Sciences	Biochemistry and Cell Biology
823	pub.1130216912	grid.7683.a	Biological Sciences	Biochemistry and Cell Biology
824	pub.1130216912	grid.410567.1	Biological Sciences	Biochemistry and Cell Biology
825	pub.1130216912	grid.10423.34	Biological Sciences	Biochemistry and Cell Biology
826	pub.1130232015	grid.10253.35	Biological Sciences	Biochemistry and Cell Biology
827	pub.1130232015	grid.500035.3	Biological Sciences	Biochemistry and Cell Biology
828	pub.1130232015	grid.6363.0	Biological Sciences	Biochemistry and Cell Biology
829	pub.1130232015	grid.11598.34	Biological Sciences	Biochemistry and Cell Biology
830	pub.1130232015	grid.10388.32	Biological Sciences	Biochemistry and Cell Biology
831	pub.1130232015	grid.410607.4	Biological Sciences	Biochemistry and Cell Biology
832	pub.1130232015	grid.6936.a	Biological Sciences	Biochemistry and Cell Biology
833	pub.1130232015	grid.8379.5	Biological Sciences	Biochemistry and Cell Biology
834	pub.1130232015	grid.1957.a	Biological Sciences	Biochemistry and Cell Biology
835	pub.1130232015	grid.6190.e	Biological Sciences	Biochemistry and Cell Biology
836	pub.1130232015	grid.5802.f	Biological Sciences	Biochemistry and Cell Biology
837	pub.1130232015	grid.4562.5	Biological Sciences	Biochemistry and Cell Biology
838	pub.1130232015	grid.15474.33	Biological Sciences	Biochemistry and Cell Biology
839	pub.1130232015	grid.4567.0	Biological Sciences	Biochemistry and Cell Biology
840	pub.1130232015	grid.10392.39	Biological Sciences	Biochemistry and Cell Biology
841	pub.1130232015	grid.412282.f	Biological Sciences	Biochemistry and Cell Biology
842	pub.1130232015	grid.469999.2	Biological Sciences	Biochemistry and Cell Biology
843	pub.1130232015	grid.16149.3b	Biological Sciences	Biochemistry and Cell Biology
844	pub.1130232015	grid.411984.1	Biological Sciences	Biochemistry and Cell Biology
845	pub.1130232015	grid.476971.a	Biological Sciences	Biochemistry and Cell Biology
846	pub.1130232015	grid.22937.3d	Biological Sciences	Biochemistry and Cell Biology
847	pub.1130232015	grid.7400.3	Biological Sciences	Biochemistry and Cell Biology
848	pub.1130232015	grid.4495.c	Biological Sciences	Biochemistry and Cell Biology
849	pub.1130232015	grid.8515.9	Biological Sciences	Biochemistry and Cell Biology
850	pub.1130232015	grid.8591.5	Biological Sciences	Biochemistry and Cell Biology
851	pub.1130232015	grid.412004.3	Biological Sciences	Biochemistry and Cell Biology
852	pub.1130232015	grid.8664.c	Biological Sciences	Biochemistry and Cell Biology
853	pub.1130232015	grid.10423.34	Biological Sciences	Biochemistry and Cell Biology
854	pub.1130232015	grid.14778.3d	Biological Sciences	Biochemistry and Cell Biology
855	pub.1130232015	grid.477805.9	Biological Sciences	Biochemistry and Cell Biology
856	pub.1130232015	grid.7307.3	Biological Sciences	Biochemistry and Cell Biology
857	pub.1130232015	grid.7429.8	Biological Sciences	Biochemistry and Cell Biology
858	pub.1130237957	grid.411984.1	Medical and Health Sciences	Clinical Sciences
859	pub.1130237957	grid.411984.1	Medical and Health Sciences	Immunology
860	pub.1130237957	grid.5330.5	Medical and Health Sciences	Clinical Sciences
861	pub.1130237957	grid.5330.5	Medical and Health Sciences	Immunology
862	pub.1130237957	grid.6936.a	Medical and Health Sciences	Clinical Sciences
863	pub.1130237957	grid.6936.a	Medical and Health Sciences	Immunology
864	pub.1130237957	grid.4567.0	Medical and Health Sciences	Clinical Sciences
865	pub.1130237957	grid.4567.0	Medical and Health Sciences	Immunology
866	pub.1130237957	grid.6363.0	Medical and Health Sciences	Clinical Sciences
867	pub.1130237957	grid.6363.0	Medical and Health Sciences	Immunology
868	pub.1130237957	grid.411760.5	Medical and Health Sciences	Clinical Sciences
869	pub.1130237957	grid.411760.5	Medical and Health Sciences	Immunology
870	pub.1130237957	grid.4562.5	Medical and Health Sciences	Clinical Sciences
871	pub.1130237957	grid.4562.5	Medical and Health Sciences	Immunology
872	pub.1130237957	grid.5253.1	Medical and Health Sciences	Clinical Sciences
873	pub.1130237957	grid.5253.1	Medical and Health Sciences	Immunology
874	pub.1130237957	grid.150338.c	Medical and Health Sciences	Clinical Sciences
875	pub.1130237957	grid.150338.c	Medical and Health Sciences	Immunology
876	pub.1130237957	grid.22937.3d	Medical and Health Sciences	Clinical Sciences
877	pub.1130237957	grid.22937.3d	Medical and Health Sciences	Immunology
878	pub.1130237957	grid.411097.a	Medical and Health Sciences	Clinical Sciences
879	pub.1130237957	grid.411097.a	Medical and Health Sciences	Immunology
880	pub.1130237957	grid.5949.1	Medical and Health Sciences	Clinical Sciences
881	pub.1130237957	grid.5949.1	Medical and Health Sciences	Immunology
882	pub.1130238130	grid.490185.1	Medical and Health Sciences	Clinical Sciences
883	pub.1130238130	grid.490185.1	Medical and Health Sciences	Immunology
884	pub.1130238130	grid.440220.0	Medical and Health Sciences	Clinical Sciences
885	pub.1130238130	grid.440220.0	Medical and Health Sciences	Immunology
886	pub.1130238130	grid.433867.d	Medical and Health Sciences	Clinical Sciences
887	pub.1130238130	grid.433867.d	Medical and Health Sciences	Immunology
888	pub.1130238130	grid.411984.1	Medical and Health Sciences	Clinical Sciences
889	pub.1130238130	grid.411984.1	Medical and Health Sciences	Immunology
890	pub.1130238730	grid.411984.1	Medical and Health Sciences	Clinical Sciences
891	pub.1130238730	grid.411984.1	Medical and Health Sciences	Immunology
892	pub.1130238730	grid.4488.0	Medical and Health Sciences	Clinical Sciences
893	pub.1130238730	grid.4488.0	Medical and Health Sciences	Immunology
894	pub.1130238730	grid.411559.d	Medical and Health Sciences	Clinical Sciences
895	pub.1130238730	grid.411559.d	Medical and Health Sciences	Immunology
896	pub.1130238730	grid.411760.5	Medical and Health Sciences	Clinical Sciences
897	pub.1130238730	grid.411760.5	Medical and Health Sciences	Immunology
898	pub.1130238730	grid.10253.35	Medical and Health Sciences	Clinical Sciences
899	pub.1130238730	grid.10253.35	Medical and Health Sciences	Immunology
900	pub.1130238730	grid.411097.a	Medical and Health Sciences	Clinical Sciences
901	pub.1130238730	grid.411097.a	Medical and Health Sciences	Immunology
902	pub.1130238730	grid.13648.38	Medical and Health Sciences	Clinical Sciences
903	pub.1130238730	grid.13648.38	Medical and Health Sciences	Immunology
904	pub.1130238730	grid.4562.5	Medical and Health Sciences	Clinical Sciences
905	pub.1130238730	grid.4562.5	Medical and Health Sciences	Immunology
906	pub.1130238730	grid.5330.5	Medical and Health Sciences	Clinical Sciences
907	pub.1130238730	grid.5330.5	Medical and Health Sciences	Immunology
908	pub.1130238730	grid.461820.9	Medical and Health Sciences	Clinical Sciences
909	pub.1130238730	grid.461820.9	Medical and Health Sciences	Immunology
910	pub.1130238730	grid.419801.5	Medical and Health Sciences	Clinical Sciences
911	pub.1130238730	grid.419801.5	Medical and Health Sciences	Immunology
912	pub.1130238730	grid.10423.34	Medical and Health Sciences	Clinical Sciences
913	pub.1130238730	grid.10423.34	Medical and Health Sciences	Immunology
914	pub.1130238730	grid.10388.32	Medical and Health Sciences	Clinical Sciences
915	pub.1130238730	grid.10388.32	Medical and Health Sciences	Immunology
916	pub.1130238730	grid.6363.0	Medical and Health Sciences	Clinical Sciences
917	pub.1130238730	grid.6363.0	Medical and Health Sciences	Immunology
918	pub.1130254848	grid.9763.b	Medical and Health Sciences	Medical Microbiology
919	pub.1130254848	grid.7269.a	Medical and Health Sciences	Medical Microbiology
920	pub.1130254848	grid.7450.6	Medical and Health Sciences	Medical Microbiology
921	pub.1130327830	grid.5155.4	Psychology and Cognitive Sciences	Psychology
922	pub.1130327830	grid.1374.1	Psychology and Cognitive Sciences	Psychology
923	pub.1130327830	grid.9464.f	Psychology and Cognitive Sciences	Psychology
924	pub.1130327902	grid.5253.1	Medical and Health Sciences	Oncology and Carcinogenesis
925	pub.1130327902	grid.488877.c	Medical and Health Sciences	Oncology and Carcinogenesis
926	pub.1130327902	grid.411984.1	Medical and Health Sciences	Oncology and Carcinogenesis
927	pub.1130340158	grid.259828.c	Medical and Health Sciences	Public Health and Health Services
928	pub.1130340158	grid.189967.8	Medical and Health Sciences	Public Health and Health Services
929	pub.1130340158	grid.34477.33	Medical and Health Sciences	Public Health and Health Services
930	pub.1130340158	grid.412726.4	Medical and Health Sciences	Public Health and Health Services
931	pub.1130340158	grid.26790.3a	Medical and Health Sciences	Public Health and Health Services
932	pub.1130340158	grid.241167.7	Medical and Health Sciences	Public Health and Health Services
933	pub.1130340158	grid.267301.1	Medical and Health Sciences	Public Health and Health Services
934	pub.1130340158	grid.418334.9	Medical and Health Sciences	Public Health and Health Services
935	pub.1130340158	grid.411984.1	Medical and Health Sciences	Public Health and Health Services
936	pub.1130340158	grid.47100.32	Medical and Health Sciences	Public Health and Health Services
937	pub.1130340158	grid.39382.33	Medical and Health Sciences	Public Health and Health Services
938	pub.1130340158	grid.280776.c	Medical and Health Sciences	Public Health and Health Services
939	pub.1130340158	grid.262743.6	Medical and Health Sciences	Public Health and Health Services
940	pub.1130340158	grid.240684.c	Medical and Health Sciences	Public Health and Health Services
941	pub.1130340158	grid.240372.0	Medical and Health Sciences	Public Health and Health Services
942	pub.1130340158	grid.239395.7	Medical and Health Sciences	Public Health and Health Services
943	pub.1130340158	grid.268154.c	Medical and Health Sciences	Public Health and Health Services
944	pub.1130340158	grid.170693.a	Medical and Health Sciences	Public Health and Health Services
945	pub.1130340158	grid.27755.32	Medical and Health Sciences	Public Health and Health Services
946	pub.1130340158	grid.267309.9	Medical and Health Sciences	Public Health and Health Services
947	pub.1130340158	grid.417046.0	Medical and Health Sciences	Public Health and Health Services
948	pub.1130340158	grid.17635.36	Medical and Health Sciences	Public Health and Health Services
949	pub.1130340158	grid.416387.f	Medical and Health Sciences	Public Health and Health Services
950	pub.1130340158	grid.410567.1	Medical and Health Sciences	Public Health and Health Services
951	pub.1130340158	grid.427785.b	Medical and Health Sciences	Public Health and Health Services
952	pub.1130340158	grid.24827.3b	Medical and Health Sciences	Public Health and Health Services
953	pub.1130340744	grid.413225.3	Medical and Health Sciences	Clinical Sciences
954	pub.1130340744	grid.411984.1	Medical and Health Sciences	Clinical Sciences
955	pub.1130340744	grid.7839.5	Medical and Health Sciences	Clinical Sciences
956	pub.1130340744	grid.5252.0	Medical and Health Sciences	Clinical Sciences
957	pub.1130340744	grid.16149.3b	Medical and Health Sciences	Clinical Sciences
958	pub.1130340744	grid.7708.8	Medical and Health Sciences	Clinical Sciences
959	pub.1130392179	grid.4563.4	Medical and Health Sciences	
960	pub.1130392179	grid.4563.4	Psychology and Cognitive Sciences	
961	pub.1130392179	grid.240404.6	Medical and Health Sciences	
962	pub.1130392179	grid.240404.6	Psychology and Cognitive Sciences	
963	pub.1130392179	grid.4827.9	Medical and Health Sciences	
964	pub.1130392179	grid.4827.9	Psychology and Cognitive Sciences	
965	pub.1130392179	grid.5335.0	Medical and Health Sciences	
966	pub.1130392179	grid.5335.0	Psychology and Cognitive Sciences	
967	pub.1130392179	grid.4868.2	Medical and Health Sciences	
968	pub.1130392179	grid.4868.2	Psychology and Cognitive Sciences	
969	pub.1130392179	grid.420004.2	Medical and Health Sciences	
970	pub.1130392179	grid.420004.2	Psychology and Cognitive Sciences	
971	pub.1130392179	grid.412915.a	Medical and Health Sciences	
972	pub.1130392179	grid.412915.a	Psychology and Cognitive Sciences	
973	pub.1130392179	grid.419728.1	Medical and Health Sciences	
