	id	full_name	affiliation_name	affiliation_city	affiliation_country	affiliation_id
0	pub.1124079136	b_ahmed	Cairo University	Giza	Egypt	grid.7776.1
1	pub.1124079136	h_amer	Cairo University	Giza	Egypt	grid.7776.1
2	pub.1124079136	j_kissenkoetter	University of Göttingen	Göttingen	Germany	grid.7450.6
3	pub.1124079136	a_el wahed	University of Göttingen	Göttingen	Germany	grid.7450.6
4	pub.1124079136	m_bayoumi	Cairo University	Giza	Egypt	grid.7776.1
5	pub.1124079136	s_boehlken-fascher	University of Göttingen	Göttingen	Germany	grid.7450.6
6	pub.1124079136	m_elgamal	Cairo University	Giza	Egypt	grid.7776.1
7	pub.1124079136	n_yehia	Agricultural Research Center	Giza	Egypt	grid.418376.f
8	pub.1124079136	a_yousif	Cairo University	Giza	Egypt	grid.7776.1
9	pub.1124079136	m_shalaby	Cairo University	Giza	Egypt	grid.7776.1
10	pub.1124214819	h_kleine-weber	German Primate Center	Göttingen	Germany	grid.418215.b
11	pub.1124214819	s_schroeder	Humboldt-Universität zu Berlin	Berlin	Germany	grid.7468.d
12	pub.1124214819	n_krueger	German Primate Center	Göttingen	Germany	grid.418215.b
13	pub.1124214819	a_prokscha	University of Veterinary Medicine Hannover, Foundation	Hanover	Germany	grid.412970.9
14	pub.1124214819	h_naim	University of Veterinary Medicine Hannover, Foundation	Hanover	Germany	grid.412970.9
15	pub.1124214819	m_mueller	German Center for Infection Research	Braunschweig	Germany	grid.452463.2
16	pub.1124214819	c_drosten	Humboldt-Universität zu Berlin	Berlin	Germany	grid.7468.d
17	pub.1124214819	s_poehlmann	German Primate Center	Göttingen	Germany	grid.418215.b
18	pub.1124214819	m_hoffmann	German Primate Center	Göttingen	Germany	grid.418215.b
19	pub.1124462509	m_hoffmann	German Primate Center	Göttingen	Germany	grid.418215.b
20	pub.1124462509	h_kleine-weber	German Primate Center	Göttingen	Germany	grid.418215.b
21	pub.1124462509	n_krueger	German Primate Center	Göttingen	Germany	grid.418215.b
22	pub.1124462509	m_mueller	German Center for Infection Research	Braunschweig	Germany	grid.452463.2
23	pub.1124462509	c_drosten	Humboldt-Universität zu Berlin	Berlin	Germany	grid.7468.d
24	pub.1124462509	s_poehlmann	German Primate Center	Göttingen	Germany	grid.418215.b
25	pub.1125150375	l_conradi	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
26	pub.1125150375	m_dobbelstein	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
27	pub.1125332949	n_loenker	University of Göttingen	Göttingen	Germany	grid.7450.6
28	pub.1125332949	k_fechner	University of Göttingen	Göttingen	Germany	grid.7450.6
29	pub.1125332949	a_wahed	University of Göttingen	Göttingen	Germany	grid.7450.6
30	pub.1125408257	m_hoffmann	German Primate Center	Göttingen	Germany	grid.418215.b
31	pub.1125408257	h_kleine-weber	German Primate Center	Göttingen	Germany	grid.418215.b
32	pub.1125408257	s_schroeder	Humboldt-Universität zu Berlin	Berlin	Germany	grid.7468.d
33	pub.1125408257	n_krueger	German Primate Center	Göttingen	Germany	grid.418215.b
34	pub.1125408257	t_herrler	Berufsgenossenschaftliche Unfallklinik Murnau	Murnau am Staffelsee	Germany	grid.469896.c
35	pub.1125408257	s_erichsen	Berufsgenossenschaftliche Unfallklinik Murnau	Murnau am Staffelsee	Germany	grid.469896.c
36	pub.1125408257	t_schiergens	Ludwig-Maximilians-Universität München	Munich	Germany	grid.5252.0
37	pub.1125408257	g_herrler	University of Veterinary Medicine Hannover, Foundation	Hanover	Germany	grid.412970.9
38	pub.1125408257	n_wu	University of Illinois Urbana-Champaign	Urbana	United States	grid.35403.31
39	pub.1125408257	a_nitsche	Robert Koch Institute	Berlin	Germany	grid.13652.33
40	pub.1125408257	m_mueller	German Center for Infection Research	Braunschweig	Germany	grid.452463.2
41	pub.1125408257	c_drosten	Humboldt-Universität zu Berlin	Berlin	Germany	grid.7468.d
42	pub.1125408257	s_poehlmann	German Primate Center	Göttingen	Germany	grid.418215.b
43	pub.1125488589	s_pfaender	Ruhr University Bochum	Bochum	Germany	grid.5570.7
44	pub.1125488589	k_mar	The University of Texas Southwestern Medical Center	Dallas	United States	grid.267313.2
45	pub.1125488589	e_michailidis	Rockefeller University	New York	United States	grid.134907.8
46	pub.1125488589	a_kratzel	University of Bern	Bern	Switzerland	grid.5734.5
47	pub.1125488589	d_hirt	Federal Food Safety and Veterinary Office	Bern	Switzerland	grid.438536.f
48	pub.1125488589	p_v’kovski	Federal Food Safety and Veterinary Office	Bern	Switzerland	grid.438536.f
49	pub.1125488589	w_fan	The University of Texas Southwestern Medical Center	Dallas	United States	grid.267313.2
50	pub.1125488589	n_ebert	University of Bern	Bern	Switzerland	grid.5734.5
51	pub.1125488589	h_stalder	University of Bern	Bern	Switzerland	grid.5734.5
52	pub.1125488589	h_kleine-weber	German Primate Center	Göttingen	Germany	grid.418215.b
53	pub.1125488589	m_hoffmann	German Primate Center	Göttingen	Germany	grid.418215.b
54	pub.1125488589	h_hoffmann	Rockefeller University	New York	United States	grid.134907.8
55	pub.1125488589	m_saeed	Boston University	Boston	United States	grid.189504.1
56	pub.1125488589	r_dijkman	University of Bern	Bern	Switzerland	grid.5734.5
57	pub.1125488589	e_steinmann	Ruhr University Bochum	Bochum	Germany	grid.5570.7
58	pub.1125488589	m_wight-carter	The University of Texas Southwestern Medical Center	Dallas	United States	grid.267313.2
59	pub.1125488589	n_hanners	The University of Texas Southwestern Medical Center	Dallas	United States	grid.267313.2
60	pub.1125488589	s_poehlmann	German Primate Center	Göttingen	Germany	grid.418215.b
61	pub.1125488589	t_gallagher	Loyola University Chicago	Chicago	United States	grid.164971.c
62	pub.1125488589	d_todt	Ruhr University Bochum	Bochum	Germany	grid.5570.7
63	pub.1125488589	g_zimmer	Federal Food Safety and Veterinary Office	Bern	Switzerland	grid.438536.f
64	pub.1125488589	c_rice	Rockefeller University	New York	United States	grid.134907.8
65	pub.1125488589	j_schoggins	The University of Texas Southwestern Medical Center	Dallas	United States	grid.267313.2
66	pub.1125488589	v_thiel	Federal Food Safety and Veterinary Office	Bern	Switzerland	grid.438536.f
67	pub.1125707354	f_brunkhorst	Jena University Hospital	Jena	Germany	grid.275559.9
68	pub.1125707354	m_weigand	University Hospital Heidelberg	Heidelberg	Germany	grid.5253.1
69	pub.1125707354	m_pletz	Jena University Hospital	Jena	Germany	grid.275559.9
70	pub.1125707354	p_gastmeier	Charité - University Medicine Berlin	Berlin	Germany	grid.6363.0
71	pub.1125707354	s_lemmen	Universitätsklinikum Aachen	Aachen	Germany	grid.412301.5
72	pub.1125707354	a_meier-hellmann	Helios Klinikum Erfurt	Erfurt	Germany	grid.491867.5
73	pub.1125707354	m_ragaller	University Hospital Carl Gustav Carus	Dresden	Germany	grid.412282.f
74	pub.1125707354	a_weyland	Klinikum Oldenburg	Oldenburg	Germany	grid.419838.f
75	pub.1125707354	g_marx	Universitätsklinikum Aachen	Aachen	Germany	grid.412301.5
76	pub.1125707354	m_bucher	University Hospital in Halle	Halle	Germany	grid.461820.9
77	pub.1125707354	h_gerlach	Vivantes Klinikum	Berlin	Germany	grid.433867.d
78	pub.1125707354	b_salzberger	University Hospital Regensburg	Regensburg	Germany	grid.411941.8
79	pub.1125707354	b_grabein	LMU Klinikum	Munich	Germany	grid.411095.8
80	pub.1125707354	t_welte	Hannover Medical School	Hanover	Germany	grid.10423.34
