	id	main_affiliation	category
61	pub.1125488589	grid.189504.1	Immunology
62	pub.1125488589	grid.189504.1	Medical Microbiology
63	pub.1125488589	grid.189504.1	Medical and Health Sciences
64	pub.1125488589	grid.164971.c	Immunology
65	pub.1125488589	grid.164971.c	Medical Microbiology
66	pub.1125488589	grid.164971.c	Medical and Health Sciences
67	pub.1125855652	grid.5802.f	Good Health and Well Being
68	pub.1125855652	grid.5802.f	Cardiorespiratory Medicine and Haematology
69	pub.1125855652	grid.5802.f	Clinical Sciences
70	pub.1125855652	grid.5802.f	Medical and Health Sciences
71	pub.1125855652	grid.5253.1	Good Health and Well Being
72	pub.1125855652	grid.5253.1	Cardiorespiratory Medicine and Haematology
73	pub.1125855652	grid.5253.1	Clinical Sciences
74	pub.1125855652	grid.5253.1	Medical and Health Sciences
75	pub.1125855652	grid.488381.e	Good Health and Well Being
76	pub.1125855652	grid.488381.e	Cardiorespiratory Medicine and Haematology
77	pub.1125855652	grid.488381.e	Clinical Sciences
78	pub.1125855652	grid.488381.e	Medical and Health Sciences
79	pub.1125904816	grid.469896.c	Clinical Sciences
80	pub.1125904816	grid.469896.c	Medical and Health Sciences
81	pub.1125904816	grid.412282.f	Clinical Sciences
82	pub.1125904816	grid.412282.f	Medical and Health Sciences
83	pub.1125904816	grid.418303.d	Clinical Sciences
84	pub.1125904816	grid.418303.d	Medical and Health Sciences
85	pub.1125904816	grid.411339.d	Clinical Sciences
86	pub.1125904816	grid.411339.d	Medical and Health Sciences
87	pub.1125904816	grid.412301.5	Clinical Sciences
88	pub.1125904816	grid.412301.5	Medical and Health Sciences
89	pub.1125904816	grid.490718.3	Clinical Sciences
90	pub.1125904816	grid.490718.3	Medical and Health Sciences
91	pub.1125904816	grid.482867.7	Clinical Sciences
92	pub.1125904816	grid.482867.7	Medical and Health Sciences
93	pub.1125904816	grid.419842.2	Clinical Sciences
94	pub.1125904816	grid.419842.2	Medical and Health Sciences
95	pub.1125904816	grid.461820.9	Clinical Sciences
96	pub.1125904816	grid.461820.9	Medical and Health Sciences
97	pub.1125904816	grid.419802.6	Clinical Sciences
98	pub.1125904816	grid.419802.6	Medical and Health Sciences
99	pub.1125947072	grid.412468.d	Clinical Sciences
100	pub.1125947072	grid.412468.d	Medical and Health Sciences
101	pub.1125956690	grid.89336.37	Biochemistry and Cell Biology
102	pub.1125956690	grid.89336.37	Biological Sciences
103	pub.1125956690	grid.5342.0	Biochemistry and Cell Biology
104	pub.1125956690	grid.5342.0	Biological Sciences
105	pub.1125956690	grid.419681.3	Biochemistry and Cell Biology
106	pub.1125956690	grid.419681.3	Biological Sciences
107	pub.1125956690	grid.254880.3	Biochemistry and Cell Biology
108	pub.1125956690	grid.254880.3	Biological Sciences
109	pub.1125956690	grid.11486.3a	Biochemistry and Cell Biology
110	pub.1125956690	grid.11486.3a	Biological Sciences
111	pub.1125979993	grid.415093.a	Medical and Health Sciences
112	pub.1125979993	grid.7563.7	Medical and Health Sciences
113	pub.1125979993	grid.411482.a	Medical and Health Sciences
114	pub.1125979993	grid.4708.b	Medical and Health Sciences
115	pub.1126005102	grid.5603.0	Clinical Sciences
116	pub.1126005102	grid.5603.0	Public Health and Health Services
117	pub.1126005102	grid.5603.0	Medical and Health Sciences
118	pub.1126005102	grid.413327.0	Clinical Sciences
119	pub.1126005102	grid.413327.0	Public Health and Health Services
120	pub.1126005102	grid.413327.0	Medical and Health Sciences
121	pub.1126024433	grid.4367.6	Clinical Sciences
122	pub.1126024433	grid.4367.6	Medical and Health Sciences
123	pub.1126024433	grid.62560.37	Clinical Sciences
124	pub.1126024433	grid.62560.37	Medical and Health Sciences
125	pub.1126024433	grid.34477.33	Clinical Sciences
