	id	category
703	pub.1135934008	Good Health and Well Being
704	pub.1136045993	Clinical Sciences
705	pub.1136045993	Medical and Health Sciences
706	pub.1136046523	Clinical Sciences
707	pub.1136046523	Medical and Health Sciences
708	pub.1136050416	Oncology and Carcinogenesis
709	pub.1136050416	Medical and Health Sciences
710	pub.1136223629	Cardiorespiratory Medicine and Haematology
711	pub.1136223629	Medical and Health Sciences
712	pub.1136306214	Clinical Sciences
713	pub.1136306214	Medical and Health Sciences
714	pub.1136325238	Pharmacology and Pharmaceutical Sciences
715	pub.1136325238	Medical and Health Sciences
716	pub.1136334210	Commercial Services
717	pub.1136334210	Marketing
718	pub.1136334210	Tourism
719	pub.1136334210	Commerce, Management, Tourism and Services
720	pub.1136334239	Specialist Studies In Education
721	pub.1136334239	Education
722	pub.1136401994	Forestry Sciences
723	pub.1136401994	Applied Economics
724	pub.1136401994	Policy and Administration
725	pub.1136401994	Agricultural and Veterinary Sciences
726	pub.1136401994	Economics
727	pub.1136401994	Studies in Human Society
728	pub.1136436630	Clinical Sciences
729	pub.1136436630	Medical and Health Sciences
730	pub.1136436630	Good Health and Well Being
731	pub.1136437147	Built Environment and Design
732	pub.1136441164	Applied Economics
733	pub.1136441164	Policy and Administration
734	pub.1136441164	Economics
735	pub.1136441164	Studies in Human Society
736	pub.1136476074	Pharmacology and Pharmaceutical Sciences
737	pub.1136476074	Medical and Health Sciences
738	pub.1136478799	Geology
739	pub.1136478799	Environmental Science and Management
740	pub.1136478799	Human Geography
741	pub.1136478799	Earth Sciences
742	pub.1136478799	Environmental Sciences
743	pub.1136478799	Studies in Human Society
744	pub.1136478799	Zero Hunger
745	pub.1136498479	Clinical Sciences
746	pub.1136498479	Medical Microbiology
747	pub.1136498479	Public Health and Health Services
748	pub.1136498479	Medical and Health Sciences
749	pub.1136505816	Immunology
750	pub.1136505816	Medical and Health Sciences
751	pub.1136508450	Biochemistry and Cell Biology
752	pub.1136508450	Biological Sciences
753	pub.1136526569	Medical Microbiology
754	pub.1136526569	Medical and Health Sciences
755	pub.1136526908	Psychology
756	pub.1136526908	Psychology and Cognitive Sciences
757	pub.1136529050	Nursing
758	pub.1136529050	Medical and Health Sciences
759	pub.1136537040	Cardiorespiratory Medicine and Haematology
760	pub.1136537040	Medical and Health Sciences
761	pub.1136558966	Public Health and Health Services
762	pub.1136558966	Medical and Health Sciences
763	pub.1136581980	Environmental Science and Management
764	pub.1136581980	Ecology
765	pub.1136581980	Environmental Sciences
766	pub.1136581980	Biological Sciences
767	pub.1136617859	Applied Economics
768	pub.1136617859	Economics
769	pub.1136618433	Biochemistry and Cell Biology
770	pub.1136618433	Biological Sciences
771	pub.1136641442	Biochemistry and Cell Biology
772	pub.1136641442	Genetics
773	pub.1136641442	Biological Sciences
774	pub.1136656027	Immunology
775	pub.1136656027	Medical and Health Sciences
776	pub.1136661172	Immunology
777	pub.1136661172	Medical and Health Sciences
778	pub.1136701257	Clinical Sciences
779	pub.1136701257	Medical and Health Sciences
780	pub.1136730955	Cardiorespiratory Medicine and Haematology
781	pub.1136730955	Medical and Health Sciences
782	pub.1136738702	Public Health and Health Services
783	pub.1136738702	Medical and Health Sciences
784	pub.1136748837	Artificial Intelligence and Image Processing
785	pub.1136748837	Information and Computing Sciences
786	pub.1136751381	Specialist Studies In Education
787	pub.1136751381	Education
788	pub.1136784533	Immunology
789	pub.1136784533	Medical and Health Sciences
790	pub.1136790224	Neurosciences
791	pub.1136790224	Medical and Health Sciences
792	pub.1136841018	Applied Economics
793	pub.1136841018	Economics
794	pub.1136851721	Zoology
795	pub.1136851721	Anthropology
796	pub.1136851721	Biological Sciences
797	pub.1136851721	Studies in Human Society
798	pub.1136861767	Clinical Sciences
799	pub.1136861767	Medical and Health Sciences
800	pub.1136866727	Immunology
801	pub.1136866727	Medical and Health Sciences
802	pub.1136888783	Medical Microbiology
803	pub.1136888783	Medical and Health Sciences
804	pub.1136891936	Biochemistry and Cell Biology
805	pub.1136891936	Pharmacology and Pharmaceutical Sciences
806	pub.1136891936	Biological Sciences
807	pub.1136891936	Medical and Health Sciences
808	pub.1136950071	Biochemistry and Cell Biology
809	pub.1136950071	Medical Microbiology
810	pub.1136950071	Biological Sciences
811	pub.1136950071	Medical and Health Sciences
812	pub.1136951474	Economics
813	pub.1136951474	Studies in Human Society
814	pub.1136959204	Cardiorespiratory Medicine and Haematology
815	pub.1136959204	Medical and Health Sciences
816	pub.1136959204	Good Health and Well Being
817	pub.1136979230	Immunology
818	pub.1136979230	Medical and Health Sciences
819	pub.1136989857	Environmental Science and Management
820	pub.1136989857	Ecology
821	pub.1136989857	Law
822	pub.1136989857	Environmental Sciences
823	pub.1136989857	Biological Sciences
824	pub.1136989857	Law and Legal Studies
825	pub.1136989857	Life on Land
826	pub.1137013869	Public Health and Health Services
827	pub.1137013869	Medical and Health Sciences
828	pub.1137032166	Data Format
829	pub.1137032166	Information Systems
830	pub.1137032166	Information and Computing Sciences
831	pub.1137038942	Geology
832	pub.1137038942	Earth Sciences
833	pub.1137110044	Curriculum and Pedagogy
834	pub.1137110044	Journalism and Professional Writing
835	pub.1137110044	History and Philosophy of Specific Fields
836	pub.1137110044	Education
837	pub.1137110044	Studies in Creative Arts and Writing
838	pub.1137110044	Philosophy and Religious Studies
839	pub.1137137562	Clinical Sciences
840	pub.1137137562	Medical and Health Sciences
841	pub.1137138582	Public Health and Health Services
842	pub.1137138582	Medical and Health Sciences
843	pub.1137138582	Good Health and Well Being
844	pub.1137139847	Physical Sciences
845	pub.1137139847	Chemical Sciences
846	pub.1137139847	Engineering
847	pub.1137141470	Medical and Health Sciences
848	pub.1137184285	Clinical Sciences
849	pub.1137184285	Medical and Health Sciences
850	pub.1137184285	Quality Education
851	pub.1137196694	Public Health and Health Services
852	pub.1137196694	Medical and Health Sciences
853	pub.1137257993	Astronomical and Space Sciences
854	pub.1137257993	Physical Sciences
855	pub.1137261840	Cardiorespiratory Medicine and Haematology
856	pub.1137261840	Medical and Health Sciences
857	pub.1137262430	Immunology
858	pub.1137262430	Medical and Health Sciences
859	pub.1137262430	Good Health and Well Being
860	pub.1137262438	Immunology
861	pub.1137262438	Medical and Health Sciences
862	pub.1137342596	Cardiorespiratory Medicine and Haematology
863	pub.1137342596	Medical and Health Sciences
864	pub.1137376134	Genetics
865	pub.1137376134	Biological Sciences
866	pub.1137386977	Genetics
867	pub.1137386977	Oncology and Carcinogenesis
868	pub.1137386977	Biological Sciences
869	pub.1137386977	Medical and Health Sciences
870	pub.1137395524	Clinical Sciences
871	pub.1137395524	Medical and Health Sciences
872	pub.1137403043	Medical Microbiology
873	pub.1137403043	Medical and Health Sciences
874	pub.1137407494	Medical and Health Sciences
875	pub.1137412678	Specialist Studies In Education
876	pub.1137412678	Education
877	pub.1137412748	Law
878	pub.1137412748	Law and Legal Studies
879	pub.1137412748	Peace, Justice and Strong Institutions
880	pub.1137449854	Applied Economics
881	pub.1137449854	Economics
882	pub.1137449854	Peace, Justice and Strong Institutions
883	pub.1137460892	Biochemistry and Cell Biology
884	pub.1137460892	Biological Sciences
885	pub.1137475309	Biochemistry and Cell Biology
886	pub.1137475309	Biological Sciences
887	pub.1137475309	Zero Hunger
888	pub.1137544713	Biochemistry and Cell Biology
889	pub.1137544713	Biological Sciences
890	pub.1137566649	Philosophy
891	pub.1137566649	Philosophy and Religious Studies
892	pub.1137566649	Peace, Justice and Strong Institutions
893	pub.1137610288	Clinical Sciences
894	pub.1137610288	Immunology
895	pub.1137610288	Medical and Health Sciences
896	pub.1137610288	Good Health and Well Being
897	pub.1137658038	Biochemistry and Cell Biology
898	pub.1137658038	Genetics
899	pub.1137658038	Biological Sciences
900	pub.1137682113	Cardiorespiratory Medicine and Haematology
901	pub.1137682113	Medical and Health Sciences
902	pub.1137685786	Applied Mathematics
903	pub.1137685786	Mathematical Sciences
904	pub.1137710027	Clinical Sciences
905	pub.1137710027	Public Health and Health Services
906	pub.1137710027	Medical and Health Sciences
907	pub.1137734005	Medical and Health Sciences
908	pub.1137750244	Curriculum and Pedagogy
909	pub.1137750244	Specialist Studies In Education
910	pub.1137750244	Education
911	pub.1137773317	Immunology
912	pub.1137773317	Medical and Health Sciences
913	pub.1137773317	Good Health and Well Being
914	pub.1137799816	Clinical Sciences
915	pub.1137799816	Medical and Health Sciences
916	pub.1137807644	Public Health and Health Services
917	pub.1137807644	Medical and Health Sciences
918	pub.1137808411	Clinical Sciences
919	pub.1137808411	Public Health and Health Services
920	pub.1137808411	Medical and Health Sciences
921	pub.1137818272	Medical Microbiology
922	pub.1137818272	Medical and Health Sciences
923	pub.1137820700	Biochemistry and Cell Biology
924	pub.1137820700	Biological Sciences
925	pub.1137840479	Medical and Health Sciences
926	pub.1137862454	Immunology
927	pub.1137862454	Medical and Health Sciences
928	pub.1137862454	Good Health and Well Being
929	pub.1137879065	Medical Microbiology
930	pub.1137879065	Medical and Health Sciences
931	pub.1137890676	Genetics
932	pub.1137890676	Biological Sciences
933	pub.1137903631	Analytical Chemistry
934	pub.1137903631	Distributed Computing
935	pub.1137903631	Electrical and Electronic Engineering
936	pub.1137903631	Chemical Sciences
937	pub.1137903631	Information and Computing Sciences
938	pub.1137903631	Engineering
939	pub.1137907340	Applied Economics
940	pub.1137907340	Demography
941	pub.1137907340	Economics
942	pub.1137907340	Studies in Human Society
943	pub.1137942097	Medical Microbiology
944	pub.1137942097	Medical and Health Sciences
945	pub.1137959368	Neurosciences
946	pub.1137959368	Medical and Health Sciences
947	pub.1137974868	Clinical Sciences
948	pub.1137974868	Immunology
949	pub.1137974868	Public Health and Health Services
950	pub.1137974868	Medical and Health Sciences
951	pub.1138129011	Biochemistry and Cell Biology
952	pub.1138129011	Biological Sciences
953	pub.1138145394	Artificial Intelligence and Image Processing
954	pub.1138145394	Information and Computing Sciences
955	pub.1138165160	Medicinal and Biomolecular Chemistry
956	pub.1138165160	Organic Chemistry
957	pub.1138165160	Theoretical and Computational Chemistry
958	pub.1138165160	Chemical Sciences
959	pub.1138165392	Built Environment and Design
960	pub.1138182150	Public Health and Health Services
961	pub.1138182150	Medical and Health Sciences
962	pub.1138211450	Forestry Sciences
963	pub.1138211450	Agricultural and Veterinary Sciences
964	pub.1138211450	Life on Land
965	pub.1138214444	Applied Economics
966	pub.1138214444	Economics
967	pub.1138215135	Clinical Sciences
968	pub.1138215135	Medical and Health Sciences
969	pub.1138246422	Cardiorespiratory Medicine and Haematology
970	pub.1138246422	Medical and Health Sciences
971	pub.1138246422	Good Health and Well Being
972	pub.1138294730	Clinical Sciences
973	pub.1138294730	Medical and Health Sciences
974	pub.1138294730	Good Health and Well Being
975	pub.1138301879	Public Health and Health Services
976	pub.1138301879	Medical and Health Sciences
977	pub.1138306010	Public Health and Health Services
978	pub.1138306010	Medical and Health Sciences
979	pub.1138306010	Good Health and Well Being
980	pub.1138312427	Applied Economics
981	pub.1138312427	Econometrics
982	pub.1138312427	Economics
983	pub.1138327362	Clinical Sciences
984	pub.1138327362	Medical and Health Sciences
985	pub.1138368978	Oncology and Carcinogenesis
986	pub.1138368978	Medical and Health Sciences
987	pub.1138370374	Linguistics
988	pub.1138370374	Language, Communication and Culture
989	pub.1138370374	Life on Land
990	pub.1138397961	Information Systems
991	pub.1138397961	Information and Computing Sciences
992	pub.1138398108	Public Health and Health Services
993	pub.1138398108	Medical and Health Sciences
994	pub.1138407537	Sociology
995	pub.1138407537	Studies in Human Society
996	pub.1138462607	Public Health and Health Services
997	pub.1138462607	Medical and Health Sciences
998	pub.1138469707	Clinical Sciences
999	pub.1138469707	Medical and Health Sciences
1000	pub.1138470274	Clinical Sciences
1001	pub.1138470274	Medical and Health Sciences
1002	pub.1138475368	Immunology
1003	pub.1138475368	Medical Microbiology
1004	pub.1138475368	Medical and Health Sciences
1005	pub.1138475368	Good Health and Well Being
1006	pub.1138494792	Clinical Sciences
1007	pub.1138494792	Medical and Health Sciences
1008	pub.1138527246	Immunology
1009	pub.1138527246	Medical and Health Sciences
1010	pub.1138527246	Good Health and Well Being
1011	pub.1138562306	Built Environment and Design
1012	pub.1138562306	Affordable and Clean Energy
1013	pub.1138562306	Climate Action
1014	pub.1138562326	Built Environment and Design
1015	pub.1138562326	Sustainable Cities and Communities
1016	pub.1138562353	Medical Microbiology
1017	pub.1138562353	Medical and Health Sciences
1018	pub.1138581624	Immunology
1019	pub.1138581624	Medical and Health Sciences
1020	pub.1138581624	Good Health and Well Being
1021	pub.1138608208	Clinical Sciences
1022	pub.1138608208	Medical and Health Sciences
1023	pub.1138619061	Neurosciences
1024	pub.1138619061	Medical and Health Sciences
1025	pub.1138646562	Medical Microbiology
1026	pub.1138646562	Medical and Health Sciences
1027	pub.1138655074	Banking, Finance and Investment
1028	pub.1138655074	Commerce, Management, Tourism and Services
1029	pub.1138721043	Immunology
1030	pub.1138721043	Neurosciences
1031	pub.1138721043	Medical and Health Sciences
1032	pub.1138721064	Physical Geography and Environmental Geoscience
1033	pub.1138721064	Environmental Science and Management
1034	pub.1138721064	Earth Sciences
1035	pub.1138721064	Environmental Sciences
1036	pub.1138770529	Religion and Religious Studies
1037	pub.1138770529	Philosophy and Religious Studies
1038	pub.1138828349	Oncology and Carcinogenesis
1039	pub.1138828349	Medical and Health Sciences
1040	pub.1138870053	Immunology
1041	pub.1138870053	Medical and Health Sciences
1042	pub.1138870053	Good Health and Well Being
1043	pub.1138984850	Immunology
1044	pub.1138984850	Medical and Health Sciences
1045	pub.1139030810	Neurosciences
1046	pub.1139030810	Psychology
1047	pub.1139030810	Medical and Health Sciences
1048	pub.1139030810	Psychology and Cognitive Sciences
1049	pub.1139098537	Immunology
1050	pub.1139098537	Medical and Health Sciences
1051	pub.1139098537	Good Health and Well Being
1052	pub.1139114552	Public Health and Health Services
1053	pub.1139114552	Medical and Health Sciences
1054	pub.1139114552	Peace, Justice and Strong Institutions
1055	pub.1139207057	Genetics
1056	pub.1139207057	Biological Sciences
1057	pub.1139214874	Immunology
1058	pub.1139214874	Medical and Health Sciences
1059	pub.1139214874	Good Health and Well Being
1060	pub.1139249926	Microbiology
1061	pub.1139249926	Medical Microbiology
1062	pub.1139249926	Biological Sciences
1063	pub.1139249926	Medical and Health Sciences
1064	pub.1139255456	Medical Microbiology
1065	pub.1139255456	Medical and Health Sciences
