	id	category
148	pub.1128780897	Economics
149	pub.1128797017	Clinical Sciences
150	pub.1128797017	Public Health and Health Services
151	pub.1128797017	Other Medical and Health Sciences
152	pub.1128797017	Medical and Health Sciences
153	pub.1128824876	Applied Mathematics
154	pub.1128824876	Mathematical Sciences
155	pub.1128827880	Clinical Sciences
156	pub.1128827880	Oncology and Carcinogenesis
157	pub.1128827880	Medical and Health Sciences
158	pub.1128871982	Public Health and Health Services
159	pub.1128871982	Medical and Health Sciences
160	pub.1128885114	Public Health and Health Services
161	pub.1128885114	Medical and Health Sciences
162	pub.1128941200	Statistics
163	pub.1128941200	Mathematical Sciences
164	pub.1128948855	Public Health and Health Services
165	pub.1128948855	Medical and Health Sciences
166	pub.1128948868	Clinical Sciences
167	pub.1128948868	Immunology
168	pub.1128948868	Public Health and Health Services
169	pub.1128948868	Medical and Health Sciences
170	pub.1128970798	Clinical Sciences
171	pub.1128970798	Medical and Health Sciences
172	pub.1128970798	Good Health and Well Being
173	pub.1128974858	Clinical Sciences
174	pub.1128974858	Neurosciences
175	pub.1128974858	Medical and Health Sciences
176	pub.1128979707	Clinical Sciences
177	pub.1128979707	Medical and Health Sciences
178	pub.1129058378	Clinical Sciences
179	pub.1129058378	Public Health and Health Services
180	pub.1129058378	Medical and Health Sciences
181	pub.1129098340	Clinical Sciences
182	pub.1129098340	Neurosciences
183	pub.1129098340	Ophthalmology and Optometry
184	pub.1129098340	Medical and Health Sciences
185	pub.1129135257	Clinical Sciences
186	pub.1129135257	Neurosciences
187	pub.1129135257	Ophthalmology and Optometry
188	pub.1129135257	Medical and Health Sciences
189	pub.1129330280	Clinical Sciences
190	pub.1129330280	Neurosciences
191	pub.1129330280	Medical and Health Sciences
192	pub.1129362640	Clinical Sciences
193	pub.1129362640	Medical and Health Sciences
194	pub.1129381955	Medical Microbiology
195	pub.1129381955	Medical and Health Sciences
196	pub.1129386398	Clinical Sciences
197	pub.1129386398	Immunology
198	pub.1129386398	Public Health and Health Services
199	pub.1129386398	Medical and Health Sciences
200	pub.1129392550	Immunology
201	pub.1129392550	Medical and Health Sciences
202	pub.1129392550	Good Health and Well Being
203	pub.1129411242	Clinical Sciences
