	id	for_v1_first_level	for_v1_second_level	sdg_v1
0	pub.1124079136	Chemical Sciences	Medicinal and Biomolecular Chemistry	
1	pub.1124079136	Chemical Sciences	Biochemistry and Cell Biology	
2	pub.1124079136	Biological Sciences	Medicinal and Biomolecular Chemistry	
3	pub.1124079136	Biological Sciences	Biochemistry and Cell Biology	
4	pub.1124214819	Biological Sciences	Microbiology	
5	pub.1124462509	Biological Sciences	Biochemistry and Cell Biology	
6	pub.1125150375			
7	pub.1125332949	Agricultural and Veterinary Sciences	Veterinary Sciences	Good Health and Well Being
8	pub.1125408257	Biological Sciences	Biochemistry and Cell Biology	
9	pub.1125408257	Biological Sciences	Medical Microbiology	
10	pub.1125408257	Medical and Health Sciences	Biochemistry and Cell Biology	
11	pub.1125408257	Medical and Health Sciences	Medical Microbiology	
12	pub.1125488589	Medical and Health Sciences	Immunology	
13	pub.1125488589	Medical and Health Sciences	Medical Microbiology	
14	pub.1125707354			
15	pub.1125855652	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	Good Health and Well Being
16	pub.1125855652	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
17	pub.1125904816	Medical and Health Sciences	Clinical Sciences	
18	pub.1125947072	Medical and Health Sciences	Clinical Sciences	
19	pub.1125956690	Biological Sciences	Biochemistry and Cell Biology	
20	pub.1125979993	Medical and Health Sciences		
21	pub.1126005102	Medical and Health Sciences	Clinical Sciences	
22	pub.1126005102	Medical and Health Sciences	Public Health and Health Services	
23	pub.1126024433	Medical and Health Sciences	Clinical Sciences	
24	pub.1126172864	Medical and Health Sciences	Public Health and Health Services	
25	pub.1126172930			
26	pub.1126664345	Medical and Health Sciences	Clinical Sciences	
27	pub.1126664345	Medical and Health Sciences	Human Movement and Sports Science	
28	pub.1126664345	Medical and Health Sciences	Neurosciences	
29	pub.1126693969	Medical and Health Sciences		
30	pub.1126701081	Medical and Health Sciences	Clinical Sciences	
31	pub.1126701081	Medical and Health Sciences	Immunology	
32	pub.1126701081	Medical and Health Sciences	Public Health and Health Services	
33	pub.1126756640			
34	pub.1126768313	Economics	Applied Economics	
35	pub.1126843214	Biological Sciences	Microbiology	
36	pub.1126843214	Biological Sciences	Medical Microbiology	
37	pub.1126843214	Biological Sciences	Pharmacology and Pharmaceutical Sciences	
