	id	for_v1_first_level	for_v1_second_level	sdg_v1
38	pub.1126843214	Medical and Health Sciences	Microbiology	
39	pub.1126843214	Medical and Health Sciences	Medical Microbiology	
40	pub.1126843214	Medical and Health Sciences	Pharmacology and Pharmaceutical Sciences	
41	pub.1126886855	Medical and Health Sciences	Medical Microbiology	
42	pub.1126923209	Medical and Health Sciences		
43	pub.1127167480	Medical and Health Sciences	Clinical Sciences	
44	pub.1127173148	Biological Sciences	Genetics	
45	pub.1127181753	Medical and Health Sciences		
46	pub.1127239016	Medical and Health Sciences	Public Health and Health Services	
47	pub.1127241353	Medical and Health Sciences	Public Health and Health Services	
48	pub.1127244380	Medical and Health Sciences	Public Health and Health Services	Good Health and Well Being
49	pub.1127259675	Biological Sciences	Biochemistry and Cell Biology	
50	pub.1127259675	Biological Sciences	Medical Microbiology	
51	pub.1127259675	Medical and Health Sciences	Biochemistry and Cell Biology	
52	pub.1127259675	Medical and Health Sciences	Medical Microbiology	
53	pub.1127376888	Biological Sciences	Biochemistry and Cell Biology	
54	pub.1127378322	Chemical Sciences	Organic Chemistry	
55	pub.1127413820	Medical and Health Sciences		
56	pub.1127418584	Medical and Health Sciences		
57	pub.1127429502	Medical and Health Sciences	Medical Microbiology	
58	pub.1127456319			
59	pub.1127536832	Medical and Health Sciences	Public Health and Health Services	Good Health and Well Being
60	pub.1127575474	Medical and Health Sciences		
61	pub.1127578315	Technology	Medical Biotechnology	
62	pub.1127591776			
63	pub.1127594600	Medical and Health Sciences	Medical Microbiology	
64	pub.1127626783	Medical and Health Sciences	Public Health and Health Services	
65	pub.1127634639	Medical and Health Sciences	Oncology and Carcinogenesis	
66	pub.1127634639	Medical and Health Sciences	Public Health and Health Services	
67	pub.1127672237			
68	pub.1127684835			
69	pub.1127735782			
70	pub.1127764022	Biological Sciences	Biochemistry and Cell Biology	
71	pub.1127764645	Medical and Health Sciences	Clinical Sciences	
72	pub.1127769033	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
73	pub.1127813540	Biological Sciences	Genetics	
74	pub.1127864358	Medical and Health Sciences	Clinical Sciences	
75	pub.1127864358	Medical and Health Sciences	Public Health and Health Services	
76	pub.1127950021	Medical and Health Sciences	Medical Microbiology	
77	pub.1128004980			
78	pub.1128016388	Biological Sciences	Biochemistry and Cell Biology	
79	pub.1128016388	Biological Sciences	Microbiology	
80	pub.1128016388	Biological Sciences	Plant Biology	
81	pub.1128056758	Commerce, Management, Tourism and Services	Business and Management	
82	pub.1128139864	Chemical Sciences		
83	pub.1128164445			
84	pub.1128226593	Medical and Health Sciences	Clinical Sciences	
85	pub.1128226593	Medical and Health Sciences	Human Movement and Sports Science	
86	pub.1128226593	Medical and Health Sciences	Neurosciences	
87	pub.1128251549	Medical and Health Sciences	Neurosciences	
88	pub.1128252328	Medical and Health Sciences	Clinical Sciences	
89	pub.1128252328	Medical and Health Sciences	Public Health and Health Services	
90	pub.1128301421	Medical and Health Sciences	Clinical Sciences	
91	pub.1128310447	Medical and Health Sciences	Medical Microbiology	
92	pub.1128446122	Medical and Health Sciences	Clinical Sciences	
93	pub.1128521242	Chemical Sciences	Medicinal and Biomolecular Chemistry	
94	pub.1128521242	Chemical Sciences	Biochemistry and Cell Biology	
95	pub.1128521242	Biological Sciences	Medicinal and Biomolecular Chemistry	
96	pub.1128521242	Biological Sciences	Biochemistry and Cell Biology	
97	pub.1128590086	Medical and Health Sciences	Public Health and Health Services	Good Health and Well Being
98	pub.1128639227	Biological Sciences	Biochemistry and Cell Biology	
99	pub.1128664332	Studies in Human Society	Human Geography	
100	pub.1128698918	Built Environment and Design	Urban and Regional Planning	
101	pub.1128698918	Built Environment and Design	Human Geography	
102	pub.1128698918	Built Environment and Design	Policy and Administration	
103	pub.1128698918	Studies in Human Society	Urban and Regional Planning	
104	pub.1128698918	Studies in Human Society	Human Geography	
105	pub.1128698918	Studies in Human Society	Policy and Administration	
106	pub.1128714618	Physical Sciences	Other Physical Sciences	
107	pub.1128714618	Physical Sciences	Artificial Intelligence and Image Processing	
108	pub.1128714618	Information and Computing Sciences	Other Physical Sciences	
109	pub.1128714618	Information and Computing Sciences	Artificial Intelligence and Image Processing	
110	pub.1128780897	Economics	Applied Economics	
111	pub.1128797017	Medical and Health Sciences	Clinical Sciences	
112	pub.1128797017	Medical and Health Sciences	Public Health and Health Services	
113	pub.1128797017	Medical and Health Sciences	Other Medical and Health Sciences	
114	pub.1128824876	Mathematical Sciences	Applied Mathematics	
115	pub.1128827880	Medical and Health Sciences	Clinical Sciences	
116	pub.1128827880	Medical and Health Sciences	Oncology and Carcinogenesis	
117	pub.1128871982	Medical and Health Sciences	Public Health and Health Services	
118	pub.1128885114	Medical and Health Sciences	Public Health and Health Services	
119	pub.1128941200	Mathematical Sciences	Statistics	
120	pub.1128948855	Medical and Health Sciences	Public Health and Health Services	
121	pub.1128948868	Medical and Health Sciences	Clinical Sciences	
122	pub.1128948868	Medical and Health Sciences	Immunology	
123	pub.1128948868	Medical and Health Sciences	Public Health and Health Services	
124	pub.1128970798	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
125	pub.1128974858	Medical and Health Sciences	Clinical Sciences	
126	pub.1128974858	Medical and Health Sciences	Neurosciences	
127	pub.1128979707	Medical and Health Sciences	Clinical Sciences	
128	pub.1129058378	Medical and Health Sciences	Clinical Sciences	
129	pub.1129058378	Medical and Health Sciences	Public Health and Health Services	
130	pub.1129098340	Medical and Health Sciences	Clinical Sciences	
131	pub.1129098340	Medical and Health Sciences	Neurosciences	
132	pub.1129098340	Medical and Health Sciences	Ophthalmology and Optometry	
133	pub.1129135257	Medical and Health Sciences	Clinical Sciences	
134	pub.1129135257	Medical and Health Sciences	Neurosciences	
135	pub.1129135257	Medical and Health Sciences	Ophthalmology and Optometry	
136	pub.1129306817			
137	pub.1129330280	Medical and Health Sciences	Clinical Sciences	
138	pub.1129330280	Medical and Health Sciences	Neurosciences	
139	pub.1129362640	Medical and Health Sciences	Clinical Sciences	
140	pub.1129381955	Medical and Health Sciences	Medical Microbiology	
141	pub.1129386398	Medical and Health Sciences	Clinical Sciences	
142	pub.1129386398	Medical and Health Sciences	Immunology	
143	pub.1129386398	Medical and Health Sciences	Public Health and Health Services	
144	pub.1129392550	Medical and Health Sciences	Immunology	Good Health and Well Being
145	pub.1129411242	Medical and Health Sciences	Clinical Sciences	
146	pub.1129480028	Medical and Health Sciences	Medical Microbiology	Good Health and Well Being
147	pub.1129483516			
148	pub.1129486798	Engineering	Biomedical Engineering	
149	pub.1129486798	Engineering	Clinical Sciences	
150	pub.1129486798	Medical and Health Sciences	Biomedical Engineering	
151	pub.1129486798	Medical and Health Sciences	Clinical Sciences	
152	pub.1129507005	Medical and Health Sciences	Medical Microbiology	Good Health and Well Being
153	pub.1129535099	Medical and Health Sciences	Medical Microbiology	
154	pub.1129540973	Medical and Health Sciences	Neurosciences	
155	pub.1129565167	Mathematical Sciences	Statistics	
156	pub.1129567644	Medical and Health Sciences	Public Health and Health Services	
157	pub.1129571738	Medical and Health Sciences	Immunology	
158	pub.1129571738	Medical and Health Sciences	Medical Microbiology	
159	pub.1129579425	Medical and Health Sciences	Immunology	Good Health and Well Being
160	pub.1129584790	Philosophy and Religious Studies	Religion and Religious Studies	
161	pub.1129664214	Medical and Health Sciences	Clinical Sciences	Quality Education
162	pub.1129664214	Medical and Health Sciences	Immunology	Quality Education
163	pub.1129665412	Medical and Health Sciences	Immunology	
164	pub.1129669931			
165	pub.1129670106	Economics	Applied Economics	
166	pub.1129673636	Biological Sciences	Biochemistry and Cell Biology	
167	pub.1129684001	Information and Computing Sciences	Information Systems	
168	pub.1129684001	Information and Computing Sciences	Business and Management	
169	pub.1129684001	Commerce, Management, Tourism and Services	Information Systems	
170	pub.1129684001	Commerce, Management, Tourism and Services	Business and Management	
171	pub.1129824693	Medical and Health Sciences	Public Health and Health Services	
172	pub.1129870290	Agricultural and Veterinary Sciences	Crop and Pasture Production	Zero Hunger
173	pub.1129870290	Agricultural and Veterinary Sciences	Food Sciences	Zero Hunger
174	pub.1129870290	Engineering	Crop and Pasture Production	Zero Hunger
175	pub.1129870290	Engineering	Food Sciences	Zero Hunger
176	pub.1129897066			
177	pub.1129897197	Medical and Health Sciences	Immunology	
178	pub.1129903168	Medical and Health Sciences	Clinical Sciences	
179	pub.1129903168	Medical and Health Sciences	Immunology	
180	pub.1129903168	Medical and Health Sciences	Public Health and Health Services	
181	pub.1129912096	Medical and Health Sciences	Medical Microbiology	
182	pub.1129925107	Studies in Human Society	Political Science	
183	pub.1129936821	Medical and Health Sciences	Clinical Sciences	
184	pub.1129991152	Medical and Health Sciences	Immunology	
185	pub.1129991152	Medical and Health Sciences	Neurosciences	
186	pub.1130052340	Biological Sciences	Genetics	
187	pub.1130074511			
188	pub.1130128326	Medical and Health Sciences		
189	pub.1130153559	Medical and Health Sciences		
190	pub.1130167203	Medical and Health Sciences	Neurosciences	
191	pub.1130204521	Medical and Health Sciences	Clinical Sciences	
192	pub.1130216912	Biological Sciences	Biochemistry and Cell Biology	
193	pub.1130232015	Biological Sciences	Biochemistry and Cell Biology	
194	pub.1130237957	Medical and Health Sciences	Clinical Sciences	
195	pub.1130237957	Medical and Health Sciences	Immunology	
196	pub.1130238130	Medical and Health Sciences	Clinical Sciences	
197	pub.1130238130	Medical and Health Sciences	Immunology	
198	pub.1130238730	Medical and Health Sciences	Clinical Sciences	
199	pub.1130238730	Medical and Health Sciences	Immunology	
200	pub.1130254848	Medical and Health Sciences	Medical Microbiology	
201	pub.1130327830	Psychology and Cognitive Sciences	Psychology	
202	pub.1130327902	Medical and Health Sciences	Oncology and Carcinogenesis	
203	pub.1130340158	Medical and Health Sciences	Public Health and Health Services	
204	pub.1130340744	Medical and Health Sciences	Clinical Sciences	
205	pub.1130392179	Medical and Health Sciences		
206	pub.1130392179	Psychology and Cognitive Sciences		
207	pub.1130397336	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
208	pub.1130504966	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
209	pub.1130538308	Medical and Health Sciences	Clinical Sciences	
210	pub.1130575443	Medical and Health Sciences		
211	pub.1130577951	Medical and Health Sciences	Immunology	
212	pub.1130649899	Medical and Health Sciences	Ophthalmology and Optometry	
213	pub.1130654923	Medical and Health Sciences	Clinical Sciences	
214	pub.1130674538	Medical and Health Sciences	Clinical Sciences	
215	pub.1130674538	Medical and Health Sciences	Neurosciences	
216	pub.1130674538	Medical and Health Sciences	Ophthalmology and Optometry	
217	pub.1130687096	Medical and Health Sciences	Immunology	
218	pub.1130718178	Medical and Health Sciences	Immunology	
219	pub.1130787494	Medical and Health Sciences	Medical Microbiology	
220	pub.1130838131	Medical and Health Sciences	Immunology	
221	pub.1130905765	Medical and Health Sciences	Pharmacology and Pharmaceutical Sciences	
222	pub.1130928774	Medical and Health Sciences	Public Health and Health Services	
223	pub.1130970490	Economics	Econometrics	
224	pub.1130985011	Medical and Health Sciences	Public Health and Health Services	
225	pub.1130993678	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
226	pub.1131077045	Medical and Health Sciences	Clinical Sciences	
227	pub.1131077045	Medical and Health Sciences	Immunology	
228	pub.1131077045	Medical and Health Sciences	Public Health and Health Services	
229	pub.1131101178	Law and Legal Studies	Law	
230	pub.1131202528	Commerce, Management, Tourism and Services	Business and Management	
231	pub.1131204097	Biological Sciences	Microbiology	
232	pub.1131204097	Biological Sciences	Immunology	
233	pub.1131204097	Medical and Health Sciences	Microbiology	
234	pub.1131204097	Medical and Health Sciences	Immunology	
235	pub.1131215812	Chemical Sciences	Medicinal and Biomolecular Chemistry	Good Health and Well Being
236	pub.1131215812	Chemical Sciences	Organic Chemistry	Good Health and Well Being
237	pub.1131215812	Chemical Sciences	Theoretical and Computational Chemistry	Good Health and Well Being
238	pub.1131216008	Medical and Health Sciences	Public Health and Health Services	
239	pub.1131255014	Environmental Sciences	Environmental Science and Management	
240	pub.1131304301	Medical and Health Sciences	Immunology	
241	pub.1131359919			
242	pub.1131366772	Medical and Health Sciences	Medical Microbiology	
243	pub.1131448655	Biological Sciences	Biochemistry and Cell Biology	
244	pub.1131464447	Mathematical Sciences	Pure Mathematics	
245	pub.1131471047	Environmental Sciences	Environmental Science and Management	
246	pub.1131624623	Medical and Health Sciences	Clinical Sciences	
247	pub.1131624623	Medical and Health Sciences	Public Health and Health Services	
248	pub.1131624687	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
249	pub.1131721397	Medical and Health Sciences		
250	pub.1131748822	Economics	Applied Economics	Zero Hunger
251	pub.1131796221	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	Good Health and Well Being
252	pub.1131846614	Medical and Health Sciences		
253	pub.1131882484	Biological Sciences		
254	pub.1131882484	Medical and Health Sciences		
255	pub.1131920383	Medical and Health Sciences	Medical Microbiology	
256	pub.1132018186	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
257	pub.1132023093	Medical and Health Sciences	Clinical Sciences	
258	pub.1132036996	Medical and Health Sciences	Pharmacology and Pharmaceutical Sciences	
259	pub.1132062920	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	Good Health and Well Being
260	pub.1132063999	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
261	pub.1132108378	Mathematical Sciences	Statistics	
262	pub.1132108762	Medical and Health Sciences	Immunology	
263	pub.1132108762	Medical and Health Sciences	Medical Microbiology	
264	pub.1132109384	Medical and Health Sciences	Clinical Sciences	
265	pub.1132127717	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
266	pub.1132127722	Medical and Health Sciences	Public Health and Health Services	
267	pub.1132143651	Medical and Health Sciences	Medical Microbiology	
268	pub.1132189732	Biological Sciences	Biochemistry and Cell Biology	
269	pub.1132189732	Biological Sciences	Medical Microbiology	
270	pub.1132189732	Medical and Health Sciences	Biochemistry and Cell Biology	
271	pub.1132189732	Medical and Health Sciences	Medical Microbiology	
272	pub.1132243796	Physical Sciences	Other Physical Sciences	
273	pub.1132243796	Physical Sciences	Clinical Sciences	
274	pub.1132243796	Medical and Health Sciences	Other Physical Sciences	
275	pub.1132243796	Medical and Health Sciences	Clinical Sciences	
276	pub.1132243829	Medical and Health Sciences	Clinical Sciences	
277	pub.1132277524			
278	pub.1132294775	Medical and Health Sciences	Paediatrics and Reproductive Medicine	
279	pub.1132294775	Medical and Health Sciences	Public Health and Health Services	
280	pub.1132321841	Economics	Applied Economics	Decent Work and Economic Growth
281	pub.1132339010	Biological Sciences	Genetics	
282	pub.1132339010	Biological Sciences	Immunology	
283	pub.1132339010	Medical and Health Sciences	Genetics	
284	pub.1132339010	Medical and Health Sciences	Immunology	
285	pub.1132420900	Medical and Health Sciences	Immunology	
286	pub.1132451761			
287	pub.1132451777	Medical and Health Sciences	Clinical Sciences	
288	pub.1132451825	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
289	pub.1132452614	Medical and Health Sciences		
290	pub.1132490817	Medical and Health Sciences	Medical Microbiology	
291	pub.1132496874	Medical and Health Sciences	Clinical Sciences	
292	pub.1132502583	Economics	Applied Economics	
293	pub.1132581290	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
294	pub.1132625841	Medical and Health Sciences	Clinical Sciences	
295	pub.1132625841	Medical and Health Sciences	Public Health and Health Services	
296	pub.1132625841	Medical and Health Sciences	Other Medical and Health Sciences	
297	pub.1132635498	Medical and Health Sciences	Pharmacology and Pharmaceutical Sciences	
298	pub.1132683657	Medical and Health Sciences	Medical Physiology	
299	pub.1132714885	Medical and Health Sciences	Clinical Sciences	
300	pub.1132727798	Education	Specialist Studies In Education	
301	pub.1132826176	Medical and Health Sciences	Public Health and Health Services	
302	pub.1132882180	Medical and Health Sciences	Neurosciences	
303	pub.1132897150	Medical and Health Sciences	Clinical Sciences	
304	pub.1132897150	Medical and Health Sciences	Oncology and Carcinogenesis	
305	pub.1132924631	Commerce, Management, Tourism and Services	Banking, Finance and Investment	
306	pub.1132929229	Commerce, Management, Tourism and Services	Banking, Finance and Investment	
307	pub.1132936583			
308	pub.1132946915	Biological Sciences	Biochemistry and Cell Biology	
309	pub.1132983513	Medical and Health Sciences	Neurosciences	
310	pub.1133067852	Medical and Health Sciences	Immunology	
311	pub.1133112967	Medical and Health Sciences	Clinical Sciences	
312	pub.1133112967	Medical and Health Sciences	Public Health and Health Services	
313	pub.1133248667	Medical and Health Sciences	Public Health and Health Services	
314	pub.1133285298	Medical and Health Sciences	Public Health and Health Services	
315	pub.1133301560	Biological Sciences	Genetics	
316	pub.1133310073			
317	pub.1133344746			
318	pub.1133349434	Information and Computing Sciences	Artificial Intelligence and Image Processing	Good Health and Well Being
319	pub.1133349434	Information and Computing Sciences	Computation Theory and Mathematics	Good Health and Well Being
320	pub.1133402081	Medical and Health Sciences	Immunology	
321	pub.1133443729	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
322	pub.1133449298	Medical and Health Sciences	Public Health and Health Services	
323	pub.1133467647	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
324	pub.1133484455	Economics	Applied Economics	Decent Work and Economic Growth
325	pub.1133490339	Medical and Health Sciences	Public Health and Health Services	
326	pub.1133498574	Environmental Sciences	Environmental Science and Management	
327	pub.1133498574	Environmental Sciences	Ecology	
328	pub.1133498574	Biological Sciences	Environmental Science and Management	
329	pub.1133498574	Biological Sciences	Ecology	
330	pub.1133615541	Medical and Health Sciences	Public Health and Health Services	
331	pub.1133652796	Medical and Health Sciences		
332	pub.1133882352	Biological Sciences	Genetics	
333	pub.1134000714	Studies in Human Society	Political Science	Climate Action
334	pub.1134035248	Medical and Health Sciences	Public Health and Health Services	
335	pub.1134044324	Medical and Health Sciences	Immunology	Good Health and Well Being
336	pub.1134156033	Built Environment and Design	Urban and Regional Planning	Sustainable Cities and Communities
337	pub.1134156033	Built Environment and Design	Transportation and Freight Services	Sustainable Cities and Communities
338	pub.1134156033	Commerce, Management, Tourism and Services	Urban and Regional Planning	Sustainable Cities and Communities
339	pub.1134156033	Commerce, Management, Tourism and Services	Transportation and Freight Services	Sustainable Cities and Communities
340	pub.1134191518	Medical and Health Sciences	Clinical Sciences	Zero Hunger
341	pub.1134274782	Medical and Health Sciences	Public Health and Health Services	
342	pub.1134294393	Education	Specialist Studies In Education	
343	pub.1134385780	Medical and Health Sciences	Clinical Sciences	
344	pub.1134385780	Medical and Health Sciences	Immunology	
345	pub.1134385780	Medical and Health Sciences	Public Health and Health Services	
346	pub.1134391163	Medical and Health Sciences	Public Health and Health Services	
347	pub.1134394691	Medical and Health Sciences	Public Health and Health Services	
348	pub.1134408786	Medical and Health Sciences	Medical Microbiology	
349	pub.1134421067	Medical and Health Sciences	Clinical Sciences	
350	pub.1134421067	Medical and Health Sciences	Immunology	
351	pub.1134421067	Medical and Health Sciences	Public Health and Health Services	
352	pub.1134445536	Medical and Health Sciences	Clinical Sciences	
353	pub.1134472917	Medical and Health Sciences	Clinical Sciences	
354	pub.1134492102	Biological Sciences	Biochemistry and Cell Biology	
355	pub.1134492102	Biological Sciences	Medical Microbiology	
356	pub.1134492102	Medical and Health Sciences	Biochemistry and Cell Biology	
357	pub.1134492102	Medical and Health Sciences	Medical Microbiology	
358	pub.1134522261	Medical and Health Sciences	Clinical Sciences	
359	pub.1134556841	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
360	pub.1134556841	Medical and Health Sciences	Clinical Sciences	
361	pub.1134589123	Medical and Health Sciences	Immunology	
362	pub.1134598220	Chemical Sciences	Physical Chemistry (incl. Structural)	
363	pub.1134683682	Economics	Applied Economics	
364	pub.1134703864	Chemical Sciences	Analytical Chemistry	
365	pub.1134703864	Chemical Sciences	Other Chemical Sciences	
366	pub.1134705099	Biological Sciences	Biochemistry and Cell Biology	
367	pub.1134705099	Biological Sciences	Clinical Sciences	
368	pub.1134705099	Medical and Health Sciences	Biochemistry and Cell Biology	
369	pub.1134705099	Medical and Health Sciences	Clinical Sciences	
370	pub.1134710486	Mathematical Sciences		
371	pub.1134710486	Physical Sciences		
372	pub.1134710486	Engineering		
373	pub.1134712373	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
374	pub.1134712373	Medical and Health Sciences	Medical Physiology	
375	pub.1134714744	Medical and Health Sciences	Clinical Sciences	
376	pub.1134735838	Medical and Health Sciences		
377	pub.1134763422			
378	pub.1134763789	Medical and Health Sciences		
379	pub.1134768505	Economics	Applied Economics	
380	pub.1134768505	Economics	Business and Management	
381	pub.1134768505	Economics	Sociology	
382	pub.1134768505	Commerce, Management, Tourism and Services	Applied Economics	
383	pub.1134768505	Commerce, Management, Tourism and Services	Business and Management	
384	pub.1134768505	Commerce, Management, Tourism and Services	Sociology	
385	pub.1134768505	Studies in Human Society	Applied Economics	
386	pub.1134768505	Studies in Human Society	Business and Management	
387	pub.1134768505	Studies in Human Society	Sociology	
388	pub.1134814798	Economics		Good Health and Well Being
389	pub.1134814798	Economics		Industry, Innovation and Infrastructure
390	pub.1134850501	Medical and Health Sciences	Public Health and Health Services	
391	pub.1134912700			
392	pub.1134912877	Medical and Health Sciences	Clinical Sciences	
393	pub.1135031368	Medical and Health Sciences	Clinical Sciences	
394	pub.1135031368	Medical and Health Sciences	Public Health and Health Services	
395	pub.1135031387	Medical and Health Sciences	Public Health and Health Services	
396	pub.1135063169	Biological Sciences	Biochemistry and Cell Biology	
397	pub.1135073341	Education	Specialist Studies In Education	
398	pub.1135073341	Education	Linguistics	
399	pub.1135073341	Language, Communication and Culture	Specialist Studies In Education	
400	pub.1135073341	Language, Communication and Culture	Linguistics	
401	pub.1135105436	Biological Sciences		
402	pub.1135105436	Technology		
403	pub.1135105436	Medical and Health Sciences		
404	pub.1135108392	Medical and Health Sciences	Medical Microbiology	Good Health and Well Being
405	pub.1135123398	Environmental Sciences	Environmental Science and Management	
406	pub.1135164226	Economics	Applied Economics	
407	pub.1135164226	Economics	Econometrics	
408	pub.1135172186	Economics	Applied Economics	Zero Hunger
409	pub.1135271456	Medical and Health Sciences	Neurosciences	
410	pub.1135271578	Agricultural and Veterinary Sciences	Animal Production	
411	pub.1135276816	Medical and Health Sciences		
412	pub.1135323816	Physical Sciences		
413	pub.1135323816	Chemical Sciences		
414	pub.1135323816	Biological Sciences		
415	pub.1135329014	Medical and Health Sciences	Public Health and Health Services	
416	pub.1135339377	Medical and Health Sciences	Medical Microbiology	
417	pub.1135378390	Medical and Health Sciences	Clinical Sciences	
418	pub.1135406918	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
419	pub.1135406918	Medical and Health Sciences	Public Health and Health Services	Good Health and Well Being
420	pub.1135421524			
421	pub.1135432930	Medical and Health Sciences	Clinical Sciences	
422	pub.1135432930	Medical and Health Sciences	Human Movement and Sports Science	
423	pub.1135432930	Medical and Health Sciences	Neurosciences	
424	pub.1135433039	Medical and Health Sciences	Public Health and Health Services	
425	pub.1135437733	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
426	pub.1135468620	Mathematical Sciences	Applied Mathematics	
427	pub.1135473918	Biological Sciences	Biochemistry and Cell Biology	
428	pub.1135535167	Biological Sciences	Biochemistry and Cell Biology	
429	pub.1135555952	Chemical Sciences	Macromolecular and Materials Chemistry	Climate Action
430	pub.1135568552	Medical and Health Sciences	Public Health and Health Services	
431	pub.1135580850	Information and Computing Sciences	Information Systems	
432	pub.1135580850	Information and Computing Sciences	Other Information and Computing Sciences	
433	pub.1135580850	Information and Computing Sciences	Marketing	
434	pub.1135580850	Commerce, Management, Tourism and Services	Information Systems	
435	pub.1135580850	Commerce, Management, Tourism and Services	Other Information and Computing Sciences	
436	pub.1135580850	Commerce, Management, Tourism and Services	Marketing	
437	pub.1135588381	Medical and Health Sciences	Medical Microbiology	Good Health and Well Being
438	pub.1135588428	Medical and Health Sciences	Medical Microbiology	
439	pub.1135705494	Medical and Health Sciences	Immunology	Good Health and Well Being
440	pub.1135705504	Medical and Health Sciences	Clinical Sciences	
441	pub.1135723446	Biological Sciences	Genetics	
442	pub.1135824269			
443	pub.1135827683	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
444	pub.1135827712	Medical and Health Sciences	Neurosciences	Good Health and Well Being
445	pub.1135837222	Education	Curriculum and Pedagogy	
446	pub.1135837222	Education	Specialist Studies In Education	
447	pub.1135841136	Medical and Health Sciences	Public Health and Health Services	
448	pub.1135871907	Medical and Health Sciences	Clinical Sciences	
449	pub.1135880058	Studies in Human Society	Human Geography	
450	pub.1135880058	Studies in Human Society	Policy and Administration	
451	pub.1135880058	Studies in Human Society	Political Science	
452	pub.1135881976	Medical and Health Sciences	Public Health and Health Services	
453	pub.1135906033	Psychology and Cognitive Sciences	Psychology	
454	pub.1135906109	Medical and Health Sciences	Medical Microbiology	
455	pub.1135906826	Biological Sciences	Biochemistry and Cell Biology	
456	pub.1135914737	Medical and Health Sciences		
457	pub.1135914737	Psychology and Cognitive Sciences		
458	pub.1135930738	Medical and Health Sciences	Medical Microbiology	
459	pub.1135934008	Medical and Health Sciences	Immunology	Good Health and Well Being
460	pub.1136045993	Medical and Health Sciences	Clinical Sciences	
461	pub.1136046523	Medical and Health Sciences	Clinical Sciences	
462	pub.1136050416	Medical and Health Sciences	Oncology and Carcinogenesis	
463	pub.1136223629	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
464	pub.1136306214	Medical and Health Sciences	Clinical Sciences	
