	full_name	main_affiliation
279	a_nitsche	grid.13652.33
146	a_hansen	grid.7048.b
2536	m_mueller	grid.452463.2
143	a_hait	grid.154185.c
1016	e_farahani	grid.7048.b
3517	s_simpson-yap	grid.1008.9
3380	s_jørgensen	grid.154185.c
3512	s_schroeder	grid.7468.d
208	a_kleger	grid.410712.1
994	e_bodenschatz	grid.7450.6
2531	m_mirdita	grid.418140.8
2224	l_thomas	grid.5947.f
986	e_almallouhi	grid.259828.c
3503	s_schliemann	grid.275559.9
152	a_herengt	grid.7048.b
158	a_hochhaus	grid.275559.9
795	c_vogelberg	grid.412282.f
1091	e_schulz	grid.469852.4
3333	s_falke	grid.9026.d
2620	m_schwinzer	grid.9026.d
2097	l_bartsch	grid.411984.1
2616	m_schroeder	grid.4488.0
1058	e_kuhlmann	grid.7450.6
2603	m_saeed	grid.189504.1
3352	s_guenther	grid.424065.1
790	c_tschoepe	grid.6363.0
2590	m_rarey	grid.9026.d
792	c_uetrecht	grid.418481.0
2585	m_quintel	grid.411984.1
2141	l_gelisio	grid.466493.a
2520	m_maurer	grid.6363.0
3502	s_schlagowski	grid.418215.b
50	a_buessing	grid.412581.b
2453	m_konig	grid.21107.35
3437	s_nessler	grid.411984.1
919	d_oberthuer	grid.466493.a
2354	m_galchenkova	grid.466493.a
2355	m_galli	grid.144767.7
2377	m_groessler	grid.466493.a
4084	z_montague	grid.34477.33
3448	s_paludan	grid.7048.b
2415	m_jakobsen	grid.7048.b
13	a_antal	grid.411984.1
2412	m_iversen	grid.7048.b
2410	m_idorn	grid.7048.b
7	a_alcamí	grid.465524.4
2398	m_hoeper	grid.10423.34
3432	s_mohr	grid.419514.c
863	d_gurdasani	grid.4868.2
3500	s_scheithauer	grid.7450.6
2315	m_domaracky	grid.466493.a
2515	m_mancone	grid.7841.a
4033	y_fernández-garcía	grid.424065.1
4035	y_gevorkov	grid.466493.a
89	a_dopfer-jablonka	grid.10423.34
88	a_doerschug	grid.411984.1
84	a_dickmanns	grid.411984.1
2257	m_barthelmess	grid.466493.a
3493	s_saouane	grid.7683.a
4050	y_luo	grid.21155.32
960	d_turk	grid.457168.9
63	a_chari	grid.418140.8
860	d_goerlich	grid.418140.8
1096	e_sirotich	grid.25073.33
3708	t_parciak	grid.411984.1
257	a_meents	grid.466493.a
3258	s_antinori	grid.4708.b
1178	f_la rosée	grid.4488.0
219	a_kratzel	grid.5734.5
1105	e_szczurek	grid.12847.38
758	c_stahl-hennig	grid.418215.b
3262	s_awel	grid.466493.a
2666	m_timme	grid.7450.6
3584	t_alain	grid.28046.38
2030	k_mese	grid.411984.1
2643	m_steinegger	grid.31501.36
2691	m_weber	grid.411984.1
213	a_knudsen	grid.7048.b
1102	e_steinmann	grid.5570.7
3308	s_coppola	grid.415093.a
3926	v_thiel	grid.438536.f
269	a_moldenhauer	grid.418215.b
3306	s_contreras	grid.419514.c
3945	w_brehm	grid.466493.a
3574	s_willenzon	grid.10423.34
253	a_mashhour	grid.466493.a
969	d_von stetten	grid.475756.2
1393	h_bremer	grid.469999.2
3408	s_kuivanen	grid.7737.4
1208	f_ritzmann	grid.11749.3a
964	d_van looveren	grid.5596.f
3243	s_aeffner	grid.411984.1
1390	h_bonnekoh	grid.6363.0
1167	f_kirchhoff	grid.410712.1
961	d_van der horst	grid.7048.b
955	d_todt	grid.5570.7
1164	f_hyafil	grid.508487.6
1211	f_ruschitzka	grid.7400.3
3404	s_koscielny	grid.275559.9
3117	r_domingues	grid.411984.1
1387	h_ashkenazy	grid.419495.4
1375	g_yachdav	grid.6936.a
1376	g_yamey	grid.26009.3d
984	d_zinner	grid.7450.6
1216	f_sannino	grid.4691.a
1156	f_heppner	grid.484013.a
3273	s_beissert	grid.4488.0
1379	g_zhang	grid.21155.32
1382	g_zimmer	grid.438536.f
3396	s_knauss	grid.6363.0
3271	s_becker	grid.10392.39
1161	f_hoffmann	grid.5252.0
977	d_wrapp	grid.89336.37
974	d_wichmann	grid.13648.38
951	d_tampe	grid.411984.1
3319	s_devlin	grid.51462.34
1400	h_dargie	grid.8756.c
1188	f_marrone	grid.137628.9
3441	s_olsson	grid.14095.39
3091	r_bejar	grid.266100.3
3089	r_baughman	grid.413561.4
914	d_neuberg	grid.65499.37
910	d_mondal	grid.414142.6
1187	f_macgilchrist	grid.7450.6
3446	s_o’donoghue	grid.415306.5
3084	r_alonso	grid.413262.0
1443	h_kauczor	grid.5253.1
949	d_staudacher	grid.5963.9
1185	f_luehder	grid.411984.1
3449	s_panneerselvam	grid.475756.2
3451	s_peri	grid.249335.a
899	d_loske	grid.448793.5
1451	h_kragten	grid.412966.e
3454	s_petri	grid.10423.34
1190	f_meunier	grid.1003.2
3440	s_ogawa	grid.258799.8
917	d_nowak	grid.411095.8
947	d_sim	grid.419385.2
941	d_schloesser	grid.411984.1
3423	s_mang	grid.11749.3a
3121	r_ferrer	grid.413448.e
1198	f_nordsiek	grid.419514.c
3428	s_meyer-roetz	grid.411984.1
931	d_recchia	grid.412581.b
3434	s_mueller	grid.7450.6
1416	h_ginn	grid.18785.33
1195	f_nauck	grid.7450.6
3438	s_niebling	grid.475756.2
923	d_pascual-figal	grid.411372.2
3095	r_brehler	grid.16149.3b
920	d_olagnier	grid.7048.b
1425	h_herwartz	grid.7450.6
1365	g_stary	grid.22937.3d
1217	f_santos	grid.413562.7
3185	r_pinheiro	grid.8395.7
1049	e_jensen-jarolim	grid.22937.3d
3182	r_ojha	grid.7737.4
3180	r_oh	grid.1003.2
3313	s_cuschieri	grid.4462.4
1112	e_untersmayr	grid.22937.3d
1302	g_gundem	grid.51462.34
3175	r_nicholas	grid.7445.2
3212	r_starke	grid.26790.3a
3169	r_muellenbach	grid.5155.4
1311	g_kampf	grid.5603.0
3164	r_moesges	grid.6190.e
1046	e_jankowska	grid.4495.c
1045	e_iftekhar	grid.7692.a
3220	r_van berwaer	grid.415751.3
1318	g_lachmann	grid.484013.a
1247	f_venet	grid.412180.e
1104	e_svenningsen	grid.7048.b
1073	e_noack	grid.411984.1
