	id	for_v1_first_level	for_v1_first_level_code	for_v1_second_level	for_v1_second_level_code
405	pub.1136498479	Medical and Health Sciences	11	Clinical Sciences	1103
406	pub.1136498479	Medical and Health Sciences	11	Medical Microbiology	1108
407	pub.1136498479	Medical and Health Sciences	11	Public Health and Health Services	1117
408	pub.1136505816	Medical and Health Sciences	11	Immunology	1107
409	pub.1136508450	Biological Sciences	06	Biochemistry and Cell Biology	0601
410	pub.1136526569	Medical and Health Sciences	11	Medical Microbiology	1108
411	pub.1136526908	Psychology and Cognitive Sciences	17	Psychology	1701
412	pub.1136529050	Medical and Health Sciences	11	Nursing	1110
413	pub.1136537040	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
414	pub.1136558966	Medical and Health Sciences	11	Public Health and Health Services	1117
415	pub.1136581980	Environmental Sciences	05	Environmental Science and Management	0502
416	pub.1136581980	Biological Sciences	06	Ecology	0602
417	pub.1136617859	Economics	14	Applied Economics	1402
418	pub.1136618433	Biological Sciences	06	Biochemistry and Cell Biology	0601
419	pub.1136641442	Biological Sciences	06	Biochemistry and Cell Biology	0601
420	pub.1136641442	Biological Sciences	06	Genetics	0604
421	pub.1136656027	Medical and Health Sciences	11	Immunology	1107
422	pub.1136661172	Medical and Health Sciences	11	Immunology	1107
423	pub.1136701257	Medical and Health Sciences	11	Clinical Sciences	1103
424	pub.1136730955	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
425	pub.1136738702	Medical and Health Sciences	11	Public Health and Health Services	1117
426	pub.1136748837	Information and Computing Sciences	08	Artificial Intelligence and Image Processing	0801
427	pub.1136751381	Education	13	Specialist Studies In Education	1303
428	pub.1136784533	Medical and Health Sciences	11	Immunology	1107
429	pub.1136790224	Medical and Health Sciences	11	Neurosciences	1109
430	pub.1136841018	Economics	14	Applied Economics	1402
431	pub.1136851721	Biological Sciences	06	Zoology	0608
432	pub.1136851721	Studies in Human Society	16	Anthropology	1601
433	pub.1136861767	Medical and Health Sciences	11	Clinical Sciences	1103
434	pub.1136866727	Medical and Health Sciences	11	Immunology	1107
435	pub.1136888783	Medical and Health Sciences	11	Medical Microbiology	1108
436	pub.1136891936	Biological Sciences	06	Biochemistry and Cell Biology	0601
437	pub.1136891936	Medical and Health Sciences	11	Pharmacology and Pharmaceutical Sciences	1115
438	pub.1136950071	Biological Sciences	06	Biochemistry and Cell Biology	0601
439	pub.1136950071	Medical and Health Sciences	11	Medical Microbiology	1108
440	pub.1136951474	Economics	14		None
441	pub.1136951474	Studies in Human Society	16		None
442	pub.1136959204	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
443	pub.1136979230	Medical and Health Sciences	11	Immunology	1107
444	pub.1136989857	Environmental Sciences	05	Environmental Science and Management	0502
445	pub.1136989857	Biological Sciences	06	Ecology	0602
446	pub.1136989857	Law and Legal Studies	18	Law	1801
447	pub.1137013869	Medical and Health Sciences	11	Public Health and Health Services	1117
448	pub.1137032166	Information and Computing Sciences	08	Data Format	0804
449	pub.1137032166	Information and Computing Sciences	08	Information Systems	0806
450	pub.1137038942	Earth Sciences	04	Geology	0403
451	pub.1137110044	Education	13	Curriculum and Pedagogy	1302
452	pub.1137110044	Studies in Creative Arts and Writing	19	Journalism and Professional Writing	1903
453	pub.1137110044	Philosophy and Religious Studies	22	History and Philosophy of Specific Fields	2202
454	pub.1137137562	Medical and Health Sciences	11	Clinical Sciences	1103
455	pub.1137138582	Medical and Health Sciences	11	Public Health and Health Services	1117
456	pub.1137139847	Physical Sciences	02		None
457	pub.1137139847	Chemical Sciences	03		None
458	pub.1137139847	Engineering	09		None
459	pub.1137141470	Medical and Health Sciences	11		None
460	pub.1137184285	Medical and Health Sciences	11	Clinical Sciences	1103
461	pub.1137196694	Medical and Health Sciences	11	Public Health and Health Services	1117
462	pub.1137257993	Physical Sciences	02	Astronomical and Space Sciences	0201
463	pub.1137261840	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
464	pub.1137262430	Medical and Health Sciences	11	Immunology	1107
465	pub.1137262438	Medical and Health Sciences	11	Immunology	1107
466	pub.1137342596	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
467	pub.1137376134	Biological Sciences	06	Genetics	0604
468	pub.1137386977	Biological Sciences	06	Genetics	0604
469	pub.1137386977	Medical and Health Sciences	11	Oncology and Carcinogenesis	1112
470	pub.1137395524	Medical and Health Sciences	11	Clinical Sciences	1103
471	pub.1137403043	Medical and Health Sciences	11	Medical Microbiology	1108
472	pub.1137407494	Medical and Health Sciences	11		None
473	pub.1137412678	Education	13	Specialist Studies In Education	1303
474	pub.1137412748	Law and Legal Studies	18	Law	1801
475	pub.1137449854	Economics	14	Applied Economics	1402
476	pub.1137460892	Biological Sciences	06	Biochemistry and Cell Biology	0601
477	pub.1137475309	Biological Sciences	06	Biochemistry and Cell Biology	0601
478	pub.1137544713	Biological Sciences	06	Biochemistry and Cell Biology	0601
479	pub.1137566649	Philosophy and Religious Studies	22	Philosophy	2203
480	pub.1137610288	Medical and Health Sciences	11	Clinical Sciences	1103
481	pub.1137610288	Medical and Health Sciences	11	Immunology	1107
482	pub.1137658038	Biological Sciences	06	Biochemistry and Cell Biology	0601
483	pub.1137658038	Biological Sciences	06	Genetics	0604
484	pub.1137682113	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
485	pub.1137685786	Mathematical Sciences	01	Applied Mathematics	0102
486	pub.1137710027	Medical and Health Sciences	11	Clinical Sciences	1103
487	pub.1137710027	Medical and Health Sciences	11	Public Health and Health Services	1117
488	pub.1137734005	Medical and Health Sciences	11		None
489	pub.1137750244	Education	13	Curriculum and Pedagogy	1302
490	pub.1137750244	Education	13	Specialist Studies In Education	1303
491	pub.1137773317	Medical and Health Sciences	11	Immunology	1107
492	pub.1137799816	Medical and Health Sciences	11	Clinical Sciences	1103
493	pub.1137807644	Medical and Health Sciences	11	Public Health and Health Services	1117
494	pub.1137808411	Medical and Health Sciences	11	Clinical Sciences	1103
495	pub.1137808411	Medical and Health Sciences	11	Public Health and Health Services	1117
496	pub.1137818272	Medical and Health Sciences	11	Medical Microbiology	1108
497	pub.1137820700	Biological Sciences	06	Biochemistry and Cell Biology	0601
498	pub.1137840479	Medical and Health Sciences	11		None
499	pub.1137862454	Medical and Health Sciences	11	Immunology	1107
500	pub.1137879065	Medical and Health Sciences	11	Medical Microbiology	1108
501	pub.1137890676	Biological Sciences	06	Genetics	0604
502	pub.1137903631	Chemical Sciences	03	Analytical Chemistry	0301
503	pub.1137903631	Information and Computing Sciences	08	Distributed Computing	0805
504	pub.1137903631	Engineering	09	Electrical and Electronic Engineering	0906
505	pub.1137907340	Economics	14	Applied Economics	1402
506	pub.1137907340	Studies in Human Society	16	Demography	1603
507	pub.1137942097	Medical and Health Sciences	11	Medical Microbiology	1108
508	pub.1137959368	Medical and Health Sciences	11	Neurosciences	1109
509	pub.1137974868	Medical and Health Sciences	11	Clinical Sciences	1103
510	pub.1137974868	Medical and Health Sciences	11	Immunology	1107
511	pub.1137974868	Medical and Health Sciences	11	Public Health and Health Services	1117
512	pub.1138129011	Biological Sciences	06	Biochemistry and Cell Biology	0601
513	pub.1138145394	Information and Computing Sciences	08	Artificial Intelligence and Image Processing	0801
514	pub.1138165160	Chemical Sciences	03	Medicinal and Biomolecular Chemistry	0304
515	pub.1138165160	Chemical Sciences	03	Organic Chemistry	0305
516	pub.1138165160	Chemical Sciences	03	Theoretical and Computational Chemistry	0307
517	pub.1138165392	Built Environment and Design	12		None
518	pub.1138182150	Medical and Health Sciences	11	Public Health and Health Services	1117
519	pub.1138211450	Agricultural and Veterinary Sciences	07	Forestry Sciences	0705
520	pub.1138214444	Economics	14	Applied Economics	1402
521	pub.1138215135	Medical and Health Sciences	11	Clinical Sciences	1103
522	pub.1138246422	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
523	pub.1138294730	Medical and Health Sciences	11	Clinical Sciences	1103
524	pub.1138301879	Medical and Health Sciences	11	Public Health and Health Services	1117
525	pub.1138306010	Medical and Health Sciences	11	Public Health and Health Services	1117
526	pub.1138312427	Economics	14	Applied Economics	1402
527	pub.1138312427	Economics	14	Econometrics	1403
528	pub.1138327362	Medical and Health Sciences	11	Clinical Sciences	1103
529	pub.1138368978	Medical and Health Sciences	11	Oncology and Carcinogenesis	1112
530	pub.1138370374	Language, Communication and Culture	20	Linguistics	2004
531	pub.1138397961	Information and Computing Sciences	08	Information Systems	0806
532	pub.1138398108	Medical and Health Sciences	11	Public Health and Health Services	1117
533	pub.1138407537	Studies in Human Society	16	Sociology	1608
534	pub.1138462607	Medical and Health Sciences	11	Public Health and Health Services	1117
535	pub.1138469707	Medical and Health Sciences	11	Clinical Sciences	1103
536	pub.1138470274	Medical and Health Sciences	11	Clinical Sciences	1103
537	pub.1138475368	Medical and Health Sciences	11	Immunology	1107
538	pub.1138475368	Medical and Health Sciences	11	Medical Microbiology	1108
539	pub.1138494792	Medical and Health Sciences	11	Clinical Sciences	1103
540	pub.1138527246	Medical and Health Sciences	11	Immunology	1107
541	pub.1138562306	Built Environment and Design	12		None
542	pub.1138562326	Built Environment and Design	12		None
543	pub.1138562353	Medical and Health Sciences	11	Medical Microbiology	1108
544	pub.1138581624	Medical and Health Sciences	11	Immunology	1107
545	pub.1138608208	Medical and Health Sciences	11	Clinical Sciences	1103
546	pub.1138619061	Medical and Health Sciences	11	Neurosciences	1109
547	pub.1138646562	Medical and Health Sciences	11	Medical Microbiology	1108
548	pub.1138655074	Commerce, Management, Tourism and Services	15	Banking, Finance and Investment	1502
549	pub.1138721043	Medical and Health Sciences	11	Immunology	1107
550	pub.1138721043	Medical and Health Sciences	11	Neurosciences	1109
551	pub.1138721064	Earth Sciences	04	Physical Geography and Environmental Geoscience	0406
552	pub.1138721064	Environmental Sciences	05	Environmental Science and Management	0502
553	pub.1138770529	Philosophy and Religious Studies	22	Religion and Religious Studies	2204
554	pub.1138828349	Medical and Health Sciences	11	Oncology and Carcinogenesis	1112
555	pub.1138870053	Medical and Health Sciences	11	Immunology	1107
556	pub.1138984850	Medical and Health Sciences	11	Immunology	1107
557	pub.1139030810	Medical and Health Sciences	11	Neurosciences	1109
558	pub.1139030810	Psychology and Cognitive Sciences	17	Psychology	1701
559	pub.1139098537	Medical and Health Sciences	11	Immunology	1107
560	pub.1139114552	Medical and Health Sciences	11	Public Health and Health Services	1117
561	pub.1139207057	Biological Sciences	06	Genetics	0604
562	pub.1139214874	Medical and Health Sciences	11	Immunology	1107
563	pub.1139249926	Biological Sciences	06	Microbiology	0605
564	pub.1139249926	Medical and Health Sciences	11	Medical Microbiology	1108
565	pub.1139255456	Medical and Health Sciences	11	Medical Microbiology	1108
