	id	for_v1_first_level	for_v1_first_level_code	for_v1_second_level	for_v1_second_level_code
33	pub.1127173148	Biological Sciences	06	Genetics	0604
34	pub.1127181753	Medical and Health Sciences	11		None
35	pub.1127239016	Medical and Health Sciences	11	Public Health and Health Services	1117
36	pub.1127241353	Medical and Health Sciences	11	Public Health and Health Services	1117
37	pub.1127244380	Medical and Health Sciences	11	Public Health and Health Services	1117
38	pub.1127259675	Biological Sciences	06	Biochemistry and Cell Biology	0601
39	pub.1127259675	Medical and Health Sciences	11	Medical Microbiology	1108
40	pub.1127376888	Biological Sciences	06	Biochemistry and Cell Biology	0601
41	pub.1127378322	Chemical Sciences	03	Organic Chemistry	0305
42	pub.1127413820	Medical and Health Sciences	11		None
43	pub.1127418584	Medical and Health Sciences	11		None
44	pub.1127429502	Medical and Health Sciences	11	Medical Microbiology	1108
45	pub.1127536832	Medical and Health Sciences	11	Public Health and Health Services	1117
46	pub.1127575474	Medical and Health Sciences	11		None
47	pub.1127578315	Technology	10	Medical Biotechnology	1004
48	pub.1127594600	Medical and Health Sciences	11	Medical Microbiology	1108
49	pub.1127626783	Medical and Health Sciences	11	Public Health and Health Services	1117
50	pub.1127634639	Medical and Health Sciences	11	Oncology and Carcinogenesis	1112
51	pub.1127634639	Medical and Health Sciences	11	Public Health and Health Services	1117
52	pub.1127764022	Biological Sciences	06	Biochemistry and Cell Biology	0601
53	pub.1127764645	Medical and Health Sciences	11	Clinical Sciences	1103
54	pub.1127769033	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
55	pub.1127813540	Biological Sciences	06	Genetics	0604
56	pub.1127864358	Medical and Health Sciences	11	Clinical Sciences	1103
57	pub.1127864358	Medical and Health Sciences	11	Public Health and Health Services	1117
58	pub.1127950021	Medical and Health Sciences	11	Medical Microbiology	1108
59	pub.1128016388	Biological Sciences	06	Biochemistry and Cell Biology	0601
60	pub.1128016388	Biological Sciences	06	Microbiology	0605
61	pub.1128016388	Biological Sciences	06	Plant Biology	0607
62	pub.1128056758	Commerce, Management, Tourism and Services	15	Business and Management	1503
