	main_affiliation	category	category_count
146	grid.5216.0	Cardiorespiratory Medicine and Haematology	4
147	grid.4494.d	Cardiorespiratory Medicine and Haematology	4
148	grid.7637.5	Cardiorespiratory Medicine and Haematology	4
149	grid.4495.c	Medical and Health Sciences	4
150	grid.17063.33	Medical and Health Sciences	4
151	grid.154185.c	Medical and Health Sciences	4
152	grid.424247.3	Medical and Health Sciences	4
153	grid.411097.a	Clinical Sciences	4
154	grid.6582.9	Medical and Health Sciences	4
155	grid.413225.3	Medical and Health Sciences	4
156	grid.34477.33	Good Health and Well Being	4
157	grid.144767.7	Clinical Sciences	4
158	grid.6530.0	Medical and Health Sciences	4
159	grid.4827.9	Medical and Health Sciences	4
160	grid.419801.5	Medical and Health Sciences	4
161	grid.440220.0	Medical and Health Sciences	4
162	grid.411760.5	Immunology	4
163	grid.10253.35	Immunology	4
164	grid.411097.a	Immunology	4
165	grid.411668.c	Biological Sciences	4
166	grid.10493.3f	Biological Sciences	4
167	grid.5330.5	Clinical Sciences	4
168	grid.259828.c	Medical and Health Sciences	4
169	grid.410567.1	Medical and Health Sciences	4
170	grid.16149.3b	Clinical Sciences	4
171	grid.11598.34	Medical and Health Sciences	4
172	grid.144767.7	Cardiorespiratory Medicine and Haematology	4
173	grid.411668.c	Medical and Health Sciences	4
174	grid.412581.b	Clinical Sciences	4
175	grid.11696.39	Medical and Health Sciences	4
176	grid.411088.4	Medical and Health Sciences	4
177	grid.8379.5	Medical Microbiology	4
178	grid.8404.8	Medical and Health Sciences	4
179	grid.4691.a	Medical and Health Sciences	4
180	grid.13063.37	Medical and Health Sciences	4
181	grid.10493.3f	Medical Microbiology	4
182	grid.14778.3d	Clinical Sciences	4
183	grid.413448.e	Medical and Health Sciences	4
184	grid.10417.33	Medical and Health Sciences	4
185	grid.5330.5	Good Health and Well Being	4
186	grid.5252.0	Medical Microbiology	3
187	grid.412970.9	Medical and Health Sciences	3
188	grid.267313.2	Immunology	3
189	grid.438536.f	Medical Microbiology	3
190	grid.438536.f	Medical and Health Sciences	3
191	grid.189504.1	Medical and Health Sciences	3
192	grid.411482.a	Medical and Health Sciences	3
193	grid.5603.0	Clinical Sciences	3
194	grid.5603.0	Public Health and Health Services	3
195	grid.34477.33	Clinical Sciences	3
196	grid.16753.36	Clinical Sciences	3
197	grid.66875.3a	Clinical Sciences	3
198	grid.239915.5	Clinical Sciences	3
199	grid.25073.33	Clinical Sciences	3
200	grid.25073.33	Medical and Health Sciences	3
201	grid.7836.a	Medical and Health Sciences	3
202	grid.29980.3a	Medical and Health Sciences	3
203	grid.239395.7	Public Health and Health Services	3
204	grid.34477.33	Public Health and Health Services	3
205	grid.168010.e	Medical and Health Sciences	3
206	grid.462844.8	Public Health and Health Services	3
207	grid.21107.35	Clinical Sciences	3
208	grid.62560.37	Public Health and Health Services	3
209	grid.239578.2	Clinical Sciences	3
210	grid.4488.0	Public Health and Health Services	3
211	grid.4989.c	Medical and Health Sciences	3
212	grid.1002.3	Medical and Health Sciences	3
213	grid.411702.1	Medical and Health Sciences	3
214	grid.4991.5	Public Health and Health Services	3
215	grid.489540.4	Public Health and Health Services	3
216	grid.38142.3c	Clinical Sciences	3
217	grid.9613.d	Medical and Health Sciences	3
218	grid.11899.38	Cardiorespiratory Medicine and Haematology	3
219	grid.452396.f	Cardiorespiratory Medicine and Haematology	3
220	grid.8991.9	Cardiorespiratory Medicine and Haematology	3
221	grid.4495.c	Cardiorespiratory Medicine and Haematology	3
222	grid.154185.c	Medical Microbiology	3
223	grid.465524.4	Medical Microbiology	3
224	grid.465524.4	Medical and Health Sciences	3
225	grid.4991.5	Medical Microbiology	3
226	grid.414148.c	Medical Microbiology	3
227	grid.414148.c	Medical and Health Sciences	3
228	grid.28046.38	Medical Microbiology	3
229	grid.28046.38	Medical and Health Sciences	3
230	grid.5254.6	Medical Microbiology	3
231	grid.5254.6	Medical and Health Sciences	3
232	grid.21155.32	Medical Microbiology	3
233	grid.21155.32	Medical and Health Sciences	3
234	grid.452606.3	Medical Microbiology	3
235	grid.452606.3	Medical and Health Sciences	3
236	grid.6363.0	Neurosciences	3
