	main_affiliation	category	category_count
626	grid.489094.8	Cardiorespiratory Medicine and Haematology	2
627	grid.489094.8	Medical and Health Sciences	2
628	grid.411372.2	Cardiorespiratory Medicine and Haematology	2
629	grid.411372.2	Medical and Health Sciences	2
630	grid.7400.3	Cardiorespiratory Medicine and Haematology	2
631	grid.419385.2	Cardiorespiratory Medicine and Haematology	2
632	grid.419385.2	Medical and Health Sciences	2
633	grid.22903.3a	Cardiorespiratory Medicine and Haematology	2
634	grid.22903.3a	Medical and Health Sciences	2
635	grid.413469.d	Cardiorespiratory Medicine and Haematology	2
636	grid.413469.d	Medical and Health Sciences	2
637	grid.411129.e	Cardiorespiratory Medicine and Haematology	2
638	grid.411129.e	Medical and Health Sciences	2
639	grid.414093.b	Cardiorespiratory Medicine and Haematology	2
640	grid.414093.b	Medical and Health Sciences	2
641	grid.12136.37	Cardiorespiratory Medicine and Haematology	2
642	grid.424065.1	Pharmacology and Pharmaceutical Sciences	2
643	grid.424065.1	Medical and Health Sciences	2
644	grid.466493.a	Pharmacology and Pharmaceutical Sciences	2
645	grid.466493.a	Medical and Health Sciences	2
646	grid.18785.33	Pharmacology and Pharmaceutical Sciences	2
647	grid.18785.33	Medical and Health Sciences	2
648	grid.9026.d	Pharmacology and Pharmaceutical Sciences	2
649	grid.434729.f	Pharmacology and Pharmaceutical Sciences	2
650	grid.434729.f	Medical and Health Sciences	2
651	grid.418481.0	Pharmacology and Pharmaceutical Sciences	2
652	grid.418481.0	Medical and Health Sciences	2
653	grid.419538.2	Pharmacology and Pharmaceutical Sciences	2
654	grid.419538.2	Medical and Health Sciences	2
655	grid.469852.4	Pharmacology and Pharmaceutical Sciences	2
656	grid.469852.4	Medical and Health Sciences	2
657	grid.7683.a	Pharmacology and Pharmaceutical Sciences	2
658	grid.7683.a	Medical and Health Sciences	2
659	grid.20861.3d	Pharmacology and Pharmaceutical Sciences	2
660	grid.20861.3d	Medical and Health Sciences	2
661	grid.418010.c	Pharmacology and Pharmaceutical Sciences	2
662	grid.433620.0	Pharmacology and Pharmaceutical Sciences	2
663	grid.433620.0	Medical and Health Sciences	2
664	grid.475756.2	Pharmacology and Pharmaceutical Sciences	2
665	grid.4562.5	Pharmacology and Pharmaceutical Sciences	2
666	grid.457168.9	Pharmacology and Pharmaceutical Sciences	2
667	grid.457168.9	Medical and Health Sciences	2
668	grid.11375.31	Pharmacology and Pharmaceutical Sciences	2
669	grid.11375.31	Medical and Health Sciences	2
670	grid.9122.8	Pharmacology and Pharmaceutical Sciences	2
671	grid.9122.8	Medical and Health Sciences	2
672	grid.12155.32	Public Health and Health Services	2
673	grid.5596.f	Public Health and Health Services	2
674	grid.4827.9	Public Health and Health Services	2
675	grid.478712.f	Public Health and Health Services	2
676	grid.16149.3b	Neurosciences	2
677	grid.7700.0	Neurosciences	2
678	grid.412468.d	Immunology	2
679	grid.9764.c	Medical and Health Sciences	2
680	grid.5841.8	Public Health and Health Services	2
681	grid.5841.8	Medical and Health Sciences	2
682	grid.411339.d	Public Health and Health Services	2
683	grid.4714.6	Genetics	2
684	grid.4714.6	Biological Sciences	2
685	grid.4488.0	Genetics	2
686	grid.4488.0	Biological Sciences	2
687	grid.419518.0	Genetics	2
688	grid.419518.0	Biological Sciences	2
689	grid.5216.0	Genetics	2
690	grid.5216.0	Biological Sciences	2
691	grid.424699.4	Information and Computing Sciences	2
692	grid.412581.b	Public Health and Health Services	2
693	grid.34477.33	Biological Sciences	2
694	grid.4462.4	Medical and Health Sciences	2
695	grid.15596.3e	Medical and Health Sciences	2
696	grid.452396.f	Clinical Sciences	2
697	grid.415033.0	Medical and Health Sciences	2
698	grid.452235.7	Medical Microbiology	2
699	grid.9647.c	Clinical Sciences	2
700	grid.411778.c	Clinical Sciences	2
701	grid.411067.5	Clinical Sciences	2
702	grid.411067.5	Medical and Health Sciences	2
703	grid.5963.9	Clinical Sciences	2
704	grid.411088.4	Clinical Sciences	2
705	grid.5155.4	Clinical Sciences	2
706	grid.491861.3	Clinical Sciences	2
707	grid.491861.3	Medical and Health Sciences	2
708	grid.7605.4	Clinical Sciences	2
709	grid.7605.4	Medical and Health Sciences	2
710	grid.411941.8	Medical and Health Sciences	2
711	grid.410607.4	Clinical Sciences	2
712	grid.410712.1	Clinical Sciences	2
713	grid.5330.5	Biochemistry and Cell Biology	2
714	grid.21155.32	Environmental Science and Management	2
715	grid.21155.32	Environmental Sciences	2
716	grid.4488.0	Neurosciences	2
717	grid.440220.0	Neurosciences	2
718	grid.51462.34	Medical and Health Sciences	2
719	grid.258799.8	Medical and Health Sciences	2
720	grid.8982.b	Medical and Health Sciences	2
721	grid.443984.6	Medical and Health Sciences	2
722	grid.16872.3a	Medical and Health Sciences	2
723	grid.8395.7	Medical and Health Sciences	2
724	grid.12284.3d	Medical and Health Sciences	2
725	grid.413562.7	Medical and Health Sciences	2
726	grid.415535.3	Medical and Health Sciences	2
727	grid.410843.a	Medical and Health Sciences	2
728	grid.256342.4	Medical and Health Sciences	2
729	grid.411628.8	Medical and Health Sciences	2
730	grid.412750.5	Medical and Health Sciences	2
731	grid.419035.a	Medical and Health Sciences	2
732	grid.452490.e	Medical and Health Sciences	2
733	grid.5685.e	Medical and Health Sciences	2
734	grid.65499.37	Medical and Health Sciences	2
735	grid.20515.33	Medical and Health Sciences	2
736	grid.174567.6	Medical and Health Sciences	2
737	grid.412311.4	Medical and Health Sciences	2
738	grid.84393.35	Medical and Health Sciences	2
739	grid.413575.1	Medical and Health Sciences	2
740	grid.266100.3	Medical and Health Sciences	2
741	grid.488779.d	Public Health and Health Services	2
742	grid.459927.4	Good Health and Well Being	2
743	grid.459927.4	Public Health and Health Services	2
744	grid.11749.3a	Cardiorespiratory Medicine and Haematology	2
745	grid.410712.1	Medical Microbiology	2
746	grid.6582.9	Good Health and Well Being	2
747	grid.6582.9	Medical Microbiology	2
748	grid.4562.5	Medical Microbiology	2
749	grid.15090.3d	Immunology	2
750	grid.14778.3d	Good Health and Well Being	2
751	grid.16149.3b	Good Health and Well Being	2
752	grid.8664.c	Good Health and Well Being	2
753	grid.470779.a	Medical and Health Sciences	2
754	grid.416438.c	Medical and Health Sciences	2
755	grid.6936.a	Genetics	2
756	grid.16008.3f	Genetics	2
757	grid.16008.3f	Biological Sciences	2
758	grid.419495.4	Genetics	2
759	grid.419495.4	Biological Sciences	2
760	grid.12136.37	Genetics	2
761	grid.12136.37	Biological Sciences	2
762	grid.430387.b	Genetics	2
763	grid.430387.b	Biological Sciences	2
764	grid.415306.5	Genetics	2
765	grid.415306.5	Biological Sciences	2
766	grid.38142.3c	Genetics	2
767	grid.4819.4	Genetics	2
768	grid.4819.4	Biological Sciences	2
769	grid.59734.3c	Genetics	2
770	grid.59734.3c	Biological Sciences	2
771	grid.31501.36	Genetics	2
772	grid.11749.3a	Good Health and Well Being	2
773	grid.13648.38	Neurosciences	2
774	grid.9026.d	Biochemistry and Cell Biology	2
775	grid.9026.d	Biological Sciences	2
776	grid.21155.32	Biological Sciences	2
777	grid.414852.e	Medical and Health Sciences	2
778	grid.15895.30	Medical and Health Sciences	2
779	grid.22058.3d	Medical and Health Sciences	2
780	grid.411107.2	Medical and Health Sciences	2
781	grid.413363.0	Medical and Health Sciences	2
782	grid.416409.e	Medical and Health Sciences	2
783	grid.425902.8	Medical and Health Sciences	2
784	grid.412180.e	Medical and Health Sciences	2
785	grid.454388.6	Medical and Health Sciences	2
786	grid.24516.34	Medical and Health Sciences	2
787	grid.415250.7	Medical and Health Sciences	2
788	grid.476416.6	Medical and Health Sciences	2
789	grid.452624.3	Good Health and Well Being	2
790	grid.452624.3	Immunology	2
791	grid.452624.3	Medical and Health Sciences	2
792	grid.5252.0	Peace, Justice and Strong Institutions	2
793	grid.469827.6	Built Environment and Design	2
794	grid.5252.0	Public Health and Health Services	2
795	grid.7776.1	Medicinal and Biomolecular Chemistry	1
796	grid.7776.1	Biochemistry and Cell Biology	1
797	grid.7776.1	Biological Sciences	1
798	grid.418376.f	Medicinal and Biomolecular Chemistry	1
799	grid.418376.f	Biochemistry and Cell Biology	1
800	grid.418376.f	Chemical Sciences	1
801	grid.418376.f	Biological Sciences	1
802	grid.412970.9	Microbiology	1
803	grid.469896.c	Biochemistry and Cell Biology	1
804	grid.469896.c	Medical Microbiology	1
805	grid.469896.c	Biological Sciences	1
806	grid.5252.0	Biochemistry and Cell Biology	1
807	grid.5252.0	Biological Sciences	1
808	grid.412970.9	Biochemistry and Cell Biology	1
809	grid.35403.31	Biochemistry and Cell Biology	1
810	grid.35403.31	Medical Microbiology	1
811	grid.35403.31	Biological Sciences	1
812	grid.13652.33	Biochemistry and Cell Biology	1
813	grid.5802.f	Cardiorespiratory Medicine and Haematology	1
814	grid.5802.f	Clinical Sciences	1
815	grid.488381.e	Good Health and Well Being	1
816	grid.488381.e	Cardiorespiratory Medicine and Haematology	1
817	grid.488381.e	Clinical Sciences	1
818	grid.488381.e	Medical and Health Sciences	1
819	grid.469896.c	Clinical Sciences	1
820	grid.418303.d	Clinical Sciences	1
821	grid.418303.d	Medical and Health Sciences	1
822	grid.490718.3	Clinical Sciences	1
823	grid.490718.3	Medical and Health Sciences	1
824	grid.482867.7	Clinical Sciences	1
825	grid.482867.7	Medical and Health Sciences	1
826	grid.419842.2	Clinical Sciences	1
827	grid.419842.2	Medical and Health Sciences	1
828	grid.419802.6	Clinical Sciences	1
829	grid.413327.0	Clinical Sciences	1
830	grid.413327.0	Public Health and Health Services	1
831	grid.413327.0	Medical and Health Sciences	1
832	grid.38603.3e	Clinical Sciences	1
833	grid.38603.3e	Human Movement and Sports Science	1
834	grid.38603.3e	Neurosciences	1
835	grid.16753.36	Immunology	1
836	grid.168010.e	Clinical Sciences	1
837	grid.168010.e	Immunology	1
838	grid.168010.e	Public Health and Health Services	1
839	grid.25073.33	Immunology	1
840	grid.25073.33	Public Health and Health Services	1
841	grid.66875.3a	Immunology	1
842	grid.29980.3a	Immunology	1
843	grid.498672.6	Clinical Sciences	1
844	grid.498672.6	Immunology	1
845	grid.498672.6	Public Health and Health Services	1
846	grid.498672.6	Medical and Health Sciences	1
847	grid.1003.2	Immunology	1
848	grid.1003.2	Public Health and Health Services	1
849	grid.239915.5	Immunology	1
850	grid.267313.2	Public Health and Health Services	1
851	grid.7468.d	Pharmacology and Pharmaceutical Sciences	1
852	grid.452463.2	Pharmacology and Pharmaceutical Sciences	1
853	grid.7490.a	Medical Microbiology	1
854	grid.7490.a	Medical and Health Sciences	1
855	grid.410711.2	Medical Microbiology	1
856	grid.410711.2	Medical and Health Sciences	1
857	grid.224260.0	Clinical Sciences	1
858	grid.224260.0	Medical and Health Sciences	1
859	grid.410821.e	Clinical Sciences	1
860	grid.410821.e	Medical and Health Sciences	1
861	grid.415960.f	Clinical Sciences	1
862	grid.415960.f	Medical and Health Sciences	1
863	grid.416905.f	Clinical Sciences	1
864	grid.416905.f	Medical and Health Sciences	1
865	grid.413780.9	Clinical Sciences	1
866	grid.413780.9	Medical and Health Sciences	1
867	grid.9024.f	Clinical Sciences	1
868	grid.439338.6	Clinical Sciences	1
869	grid.439338.6	Medical and Health Sciences	1
870	grid.410569.f	Clinical Sciences	1
871	grid.410569.f	Medical and Health Sciences	1
872	grid.10392.39	Public Health and Health Services	1
873	grid.470019.b	Public Health and Health Services	1
874	grid.470019.b	Medical and Health Sciences	1
875	grid.6289.5	Good Health and Well Being	1
876	grid.6289.5	Public Health and Health Services	1
877	grid.6289.5	Medical and Health Sciences	1
878	grid.22937.3d	Public Health and Health Services	1
879	grid.424065.1	Organic Chemistry	1
880	grid.424065.1	Chemical Sciences	1
881	grid.466493.a	Organic Chemistry	1
882	grid.466493.a	Chemical Sciences	1
883	grid.18785.33	Organic Chemistry	1
884	grid.18785.33	Chemical Sciences	1
885	grid.9026.d	Organic Chemistry	1
886	grid.9026.d	Chemical Sciences	1
887	grid.434729.f	Organic Chemistry	1
888	grid.434729.f	Chemical Sciences	1
889	grid.419538.2	Organic Chemistry	1
890	grid.419538.2	Chemical Sciences	1
891	grid.7683.a	Organic Chemistry	1
892	grid.7683.a	Chemical Sciences	1
893	grid.20861.3d	Organic Chemistry	1
894	grid.20861.3d	Chemical Sciences	1
895	grid.469852.4	Organic Chemistry	1
896	grid.469852.4	Chemical Sciences	1
897	grid.418010.c	Organic Chemistry	1
898	grid.418010.c	Chemical Sciences	1
899	grid.4562.5	Organic Chemistry	1
900	grid.4562.5	Chemical Sciences	1
901	grid.418481.0	Organic Chemistry	1
902	grid.418481.0	Chemical Sciences	1
903	grid.457168.9	Organic Chemistry	1
904	grid.457168.9	Chemical Sciences	1
905	grid.9122.8	Organic Chemistry	1
906	grid.9122.8	Chemical Sciences	1
907	grid.414796.9	Medical Microbiology	1
908	grid.11348.3f	Medical Microbiology	1
909	grid.11348.3f	Medical and Health Sciences	1
910	grid.254250.4	Good Health and Well Being	1
911	grid.254250.4	Public Health and Health Services	1
912	grid.241167.7	Good Health and Well Being	1
913	grid.15276.37	Good Health and Well Being	1
914	grid.15276.37	Public Health and Health Services	1
915	grid.15276.37	Medical and Health Sciences	1
916	grid.17635.36	Good Health and Well Being	1
917	grid.137628.9	Good Health and Well Being	1
918	grid.137628.9	Public Health and Health Services	1
919	grid.137628.9	Medical and Health Sciences	1
920	grid.10420.37	Good Health and Well Being	1
921	grid.10420.37	Public Health and Health Services	1
922	grid.9008.1	Good Health and Well Being	1
923	grid.9008.1	Public Health and Health Services	1
924	grid.9008.1	Medical and Health Sciences	1
925	grid.8051.c	Good Health and Well Being	1
926	grid.411705.6	Good Health and Well Being	1
927	grid.411705.6	Public Health and Health Services	1
928	grid.411705.6	Medical and Health Sciences	1
929	grid.411326.3	Good Health and Well Being	1
930	grid.411326.3	Public Health and Health Services	1
931	grid.411326.3	Medical and Health Sciences	1
932	grid.155956.b	Good Health and Well Being	1
933	grid.155956.b	Public Health and Health Services	1
934	grid.4989.c	Good Health and Well Being	1
935	grid.4989.c	Public Health and Health Services	1
936	grid.38142.3c	Good Health and Well Being	1
937	grid.411905.8	Good Health and Well Being	1
938	grid.411905.8	Public Health and Health Services	1
939	grid.411905.8	Medical and Health Sciences	1
940	grid.1005.4	Public Health and Health Services	1
941	grid.83440.3b	Good Health and Well Being	1
942	grid.83440.3b	Public Health and Health Services	1
943	grid.1002.3	Good Health and Well Being	1
944	grid.412501.3	Good Health and Well Being	1
945	grid.412501.3	Public Health and Health Services	1
946	grid.412501.3	Medical and Health Sciences	1
947	grid.11899.38	Good Health and Well Being	1
948	grid.5110.5	Good Health and Well Being	1
949	grid.5110.5	Public Health and Health Services	1
950	grid.5110.5	Medical and Health Sciences	1
951	grid.419524.f	Good Health and Well Being	1
952	grid.419524.f	Public Health and Health Services	1
953	grid.47716.33	Good Health and Well Being	1
954	grid.47716.33	Public Health and Health Services	1
955	grid.47716.33	Medical and Health Sciences	1
956	grid.22072.35	Good Health and Well Being	1
957	grid.251993.5	Good Health and Well Being	1
958	grid.251993.5	Public Health and Health Services	1
959	grid.251993.5	Medical and Health Sciences	1
960	grid.412460.5	Good Health and Well Being	1
961	grid.412460.5	Public Health and Health Services	1
962	grid.412460.5	Medical and Health Sciences	1
963	grid.417778.a	Good Health and Well Being	1
964	grid.417778.a	Public Health and Health Services	1
965	grid.412371.2	Good Health and Well Being	1
966	grid.412371.2	Public Health and Health Services	1
967	grid.412371.2	Medical and Health Sciences	1
968	grid.5801.c	Good Health and Well Being	1
969	grid.5801.c	Public Health and Health Services	1
970	grid.5801.c	Medical and Health Sciences	1
971	grid.465547.1	Good Health and Well Being	1
972	grid.465547.1	Public Health and Health Services	1
973	grid.465547.1	Medical and Health Sciences	1
974	grid.7400.3	Public Health and Health Services	1
975	grid.411702.1	Good Health and Well Being	1
976	grid.16821.3c	Good Health and Well Being	1
977	grid.16821.3c	Public Health and Health Services	1
978	grid.16821.3c	Medical and Health Sciences	1
979	grid.59053.3a	Good Health and Well Being	1
980	grid.59053.3a	Public Health and Health Services	1
981	grid.59053.3a	Medical and Health Sciences	1
982	grid.417423.7	Good Health and Well Being	1
983	grid.417423.7	Public Health and Health Services	1
984	grid.417423.7	Medical and Health Sciences	1
985	grid.5330.5	Medical Biotechnology	1
986	grid.5330.5	Technology	1
987	grid.411668.c	Medical Biotechnology	1
988	grid.411668.c	Technology	1
989	grid.489540.4	Medical Biotechnology	1
990	grid.489540.4	Technology	1
991	grid.458458.0	Medical Microbiology	1
992	grid.458458.0	Medical and Health Sciences	1
993	grid.275559.9	Oncology and Carcinogenesis	1
994	grid.410458.c	Clinical Sciences	1
995	grid.410458.c	Medical and Health Sciences	1
996	grid.55602.34	Clinical Sciences	1
997	grid.55602.34	Medical and Health Sciences	1
998	grid.27530.33	Clinical Sciences	1
999	grid.27530.33	Medical and Health Sciences	1
1000	grid.22254.33	Clinical Sciences	1
1001	grid.22254.33	Medical and Health Sciences	1
1002	grid.411075.6	Clinical Sciences	1
1003	grid.411075.6	Medical and Health Sciences	1
1004	grid.411023.5	Clinical Sciences	1
1005	grid.411023.5	Medical and Health Sciences	1
1006	grid.413120.5	Cardiorespiratory Medicine and Haematology	1
1007	grid.413120.5	Medical and Health Sciences	1
1008	grid.10423.34	Cardiorespiratory Medicine and Haematology	1
1009	grid.39382.33	Cardiorespiratory Medicine and Haematology	1
1010	grid.38142.3c	Cardiorespiratory Medicine and Haematology	1
1011	grid.459746.d	Cardiorespiratory Medicine and Haematology	1
1012	grid.459746.d	Medical and Health Sciences	1
1013	grid.17089.37	Cardiorespiratory Medicine and Haematology	1
1014	grid.17089.37	Medical and Health Sciences	1
1015	grid.412807.8	Cardiorespiratory Medicine and Haematology	1
1016	grid.412807.8	Medical and Health Sciences	1
1017	grid.62560.37	Cardiorespiratory Medicine and Haematology	1
1018	grid.411588.1	Cardiorespiratory Medicine and Haematology	1
1019	grid.411588.1	Medical and Health Sciences	1
1020	grid.18887.3e	Cardiorespiratory Medicine and Haematology	1
1021	grid.266102.1	Cardiorespiratory Medicine and Haematology	1
1022	grid.177174.3	Cardiorespiratory Medicine and Haematology	1
1023	grid.177174.3	Medical and Health Sciences	1
1024	grid.437929.2	Cardiorespiratory Medicine and Haematology	1
1025	grid.437929.2	Medical and Health Sciences	1
1026	grid.29172.3f	Cardiorespiratory Medicine and Haematology	1
1027	grid.29172.3f	Medical and Health Sciences	1
1028	grid.415105.4	Cardiorespiratory Medicine and Haematology	1
1029	grid.415105.4	Medical and Health Sciences	1
1030	grid.419269.1	Cardiorespiratory Medicine and Haematology	1
1031	grid.419269.1	Medical and Health Sciences	1
1032	grid.7372.1	Cardiorespiratory Medicine and Haematology	1
1033	grid.7872.a	Genetics	1
1034	grid.7872.a	Biological Sciences	1
1035	grid.223827.e	Genetics	1
1036	grid.223827.e	Biological Sciences	1
1037	grid.266102.1	Genetics	1
1038	grid.418853.3	Genetics	1
1039	grid.418853.3	Biological Sciences	1
1040	grid.17091.3e	Microbiology	1
1041	grid.17091.3e	Plant Biology	1
1042	grid.9435.b	Biochemistry and Cell Biology	1
1043	grid.9435.b	Microbiology	1
1044	grid.9435.b	Plant Biology	1
1045	grid.9435.b	Biological Sciences	1
1046	grid.9435.b	Business and Management	1
1047	grid.9435.b	Commerce, Management, Tourism and Services	1
1048	grid.5330.5	Chemical Sciences	1
1049	grid.418892.e	Chemical Sciences	1
1050	grid.452396.f	Chemical Sciences	1
1051	grid.10423.34	Medicinal and Biomolecular Chemistry	1
1052	grid.10423.34	Chemical Sciences	1
1053	grid.475435.4	Medicinal and Biomolecular Chemistry	1
1054	grid.475435.4	Biochemistry and Cell Biology	1
1055	grid.475435.4	Chemical Sciences	1
1056	grid.475435.4	Biological Sciences	1
1057	grid.5802.f	Public Health and Health Services	1
1058	grid.13402.34	Human Geography	1
1059	grid.13402.34	Studies in Human Society	1
1060	grid.5252.0	Human Geography	1
1061	grid.5252.0	Studies in Human Society	1
1062	grid.7445.2	Human Geography	1
1063	grid.7445.2	Studies in Human Society	1
1064	grid.8756.c	Human Geography	1
1065	grid.8756.c	Studies in Human Society	1
1066	grid.411604.6	Human Geography	1
1067	grid.411604.6	Studies in Human Society	1
1068	grid.4991.5	Human Geography	1
1069	grid.4991.5	Studies in Human Society	1
1070	grid.4970.a	Urban and Regional Planning	1
1071	grid.4970.a	Human Geography	1
1072	grid.4970.a	Policy and Administration	1
1073	grid.4970.a	Built Environment and Design	1
1074	grid.4970.a	Studies in Human Society	1
1075	grid.11835.3e	Urban and Regional Planning	1
1076	grid.11835.3e	Human Geography	1
1077	grid.11835.3e	Policy and Administration	1
1078	grid.11835.3e	Built Environment and Design	1
1079	grid.11835.3e	Studies in Human Society	1
1080	grid.19873.34	Urban and Regional Planning	1
1081	grid.19873.34	Human Geography	1
1082	grid.19873.34	Policy and Administration	1
1083	grid.19873.34	Built Environment and Design	1
1084	grid.19873.34	Studies in Human Society	1
1085	grid.7177.6	Urban and Regional Planning	1
1086	grid.7177.6	Human Geography	1
1087	grid.7177.6	Policy and Administration	1
1088	grid.7177.6	Built Environment and Design	1
1089	grid.7177.6	Studies in Human Society	1
1090	grid.7836.a	Urban and Regional Planning	1
1091	grid.7836.a	Human Geography	1
1092	grid.7836.a	Policy and Administration	1
1093	grid.7836.a	Built Environment and Design	1
1094	grid.7836.a	Studies in Human Society	1
1095	grid.14709.3b	Urban and Regional Planning	1
1096	grid.14709.3b	Human Geography	1
1097	grid.14709.3b	Policy and Administration	1
1098	grid.14709.3b	Built Environment and Design	1
1099	grid.14709.3b	Studies in Human Society	1
1100	grid.4280.e	Urban and Regional Planning	1
1101	grid.4280.e	Human Geography	1
1102	grid.4280.e	Policy and Administration	1
1103	grid.4280.e	Built Environment and Design	1
1104	grid.4280.e	Studies in Human Society	1
1105	grid.7683.a	Other Physical Sciences	1
1106	grid.7683.a	Artificial Intelligence and Image Processing	1
1107	grid.7683.a	Physical Sciences	1
1108	grid.7683.a	Information and Computing Sciences	1
1109	grid.410567.1	Other Physical Sciences	1
1110	grid.410567.1	Artificial Intelligence and Image Processing	1
1111	grid.410567.1	Physical Sciences	1
1112	grid.410567.1	Information and Computing Sciences	1
1113	grid.10423.34	Other Physical Sciences	1
1114	grid.10423.34	Physical Sciences	1
1115	grid.464353.3	Applied Economics	1
1116	grid.464353.3	Economics	1
1117	grid.411097.a	Oncology and Carcinogenesis	1
1118	grid.6190.e	Oncology and Carcinogenesis	1
1119	grid.452286.f	Oncology and Carcinogenesis	1
1120	grid.416373.4	Clinical Sciences	1
1121	grid.416373.4	Oncology and Carcinogenesis	1
1122	grid.416373.4	Medical and Health Sciences	1
1123	grid.413711.1	Clinical Sciences	1
1124	grid.413711.1	Oncology and Carcinogenesis	1
1125	grid.413711.1	Medical and Health Sciences	1
1126	grid.6582.9	Clinical Sciences	1
1127	grid.6582.9	Oncology and Carcinogenesis	1
1128	grid.11749.3a	Oncology and Carcinogenesis	1
1129	grid.475435.4	Oncology and Carcinogenesis	1
1130	grid.413354.4	Clinical Sciences	1
1131	grid.413354.4	Oncology and Carcinogenesis	1
1132	grid.413354.4	Medical and Health Sciences	1
1133	grid.7177.6	Oncology and Carcinogenesis	1
1134	grid.413225.3	Public Health and Health Services	1
1135	grid.7708.8	Public Health and Health Services	1
1136	grid.476041.0	Public Health and Health Services	1
1137	grid.476041.0	Medical and Health Sciences	1
1138	grid.470768.a	Public Health and Health Services	1
1139	grid.470768.a	Medical and Health Sciences	1
1140	grid.16149.3b	Public Health and Health Services	1
1141	grid.11480.3c	Public Health and Health Services	1
1142	grid.11480.3c	Medical and Health Sciences	1
1143	grid.410476.0	Public Health and Health Services	1
1144	grid.410476.0	Medical and Health Sciences	1
1145	grid.55325.34	Public Health and Health Services	1
1146	grid.55325.34	Medical and Health Sciences	1
1147	grid.5510.1	Public Health and Health Services	1
1148	grid.5510.1	Medical and Health Sciences	1
1149	grid.419481.1	Statistics	1
1150	grid.419481.1	Mathematical Sciences	1
1151	grid.414802.b	Statistics	1
1152	grid.414802.b	Mathematical Sciences	1
1153	grid.7704.4	Statistics	1
1154	grid.7704.4	Mathematical Sciences	1
1155	grid.9835.7	Statistics	1
1156	grid.9835.7	Mathematical Sciences	1
1157	grid.5253.1	Statistics	1
1158	grid.5253.1	Mathematical Sciences	1
1159	grid.1006.7	Statistics	1
1160	grid.1006.7	Mathematical Sciences	1
1161	grid.411327.2	Immunology	1
1162	grid.411327.2	Public Health and Health Services	1
1163	grid.239915.5	Good Health and Well Being	1
1164	grid.4367.6	Good Health and Well Being	1
1165	grid.462844.8	Good Health and Well Being	1
1166	grid.66875.3a	Good Health and Well Being	1
1167	grid.21107.35	Good Health and Well Being	1
1168	grid.16753.36	Good Health and Well Being	1
1169	grid.1003.2	Good Health and Well Being	1
1170	grid.25073.33	Good Health and Well Being	1
1171	grid.430666.1	Good Health and Well Being	1
1172	grid.7836.a	Good Health and Well Being	1
1173	grid.267313.2	Good Health and Well Being	1
1174	grid.62560.37	Good Health and Well Being	1
1175	grid.419548.5	Clinical Sciences	1
1176	grid.419548.5	Neurosciences	1
1177	grid.419548.5	Medical and Health Sciences	1
1178	grid.6292.f	Clinical Sciences	1
1179	grid.417007.5	Clinical Sciences	1
1180	grid.417007.5	Medical and Health Sciences	1
1181	grid.412725.7	Clinical Sciences	1
1182	grid.412725.7	Medical and Health Sciences	1
1183	grid.6530.0	Clinical Sciences	1
1184	grid.411544.1	Neurosciences	1
1185	grid.411544.1	Ophthalmology and Optometry	1
1186	grid.12155.32	Clinical Sciences	1
1187	grid.12155.32	Neurosciences	1
1188	grid.5596.f	Clinical Sciences	1
1189	grid.5596.f	Neurosciences	1
1190	grid.1008.9	Clinical Sciences	1
1191	grid.1008.9	Neurosciences	1
1192	grid.414271.5	Clinical Sciences	1
1193	grid.414271.5	Neurosciences	1
1194	grid.4714.6	Clinical Sciences	1
1195	grid.4714.6	Neurosciences	1
1196	grid.478712.f	Clinical Sciences	1
1197	grid.478712.f	Neurosciences	1
1198	grid.4827.9	Clinical Sciences	1
1199	grid.4827.9	Neurosciences	1
1200	grid.4367.6	Neurosciences	1
1201	grid.418248.3	Clinical Sciences	1
1202	grid.418248.3	Neurosciences	1
1203	grid.1002.3	Clinical Sciences	1
1204	grid.1002.3	Neurosciences	1
1205	grid.1009.8	Clinical Sciences	1
1206	grid.1009.8	Neurosciences	1
1207	grid.491957.7	Clinical Sciences	1
1208	grid.491957.7	Neurosciences	1
1209	grid.491957.7	Medical and Health Sciences	1
1210	grid.239578.2	Neurosciences	1
1211	grid.4868.2	Clinical Sciences	1
1212	grid.4868.2	Neurosciences	1
1213	grid.475435.4	Neurosciences	1
1214	grid.410543.7	Clinical Sciences	1
1215	grid.410543.7	Neurosciences	1
1216	grid.413262.0	Clinical Sciences	1
1217	grid.413262.0	Neurosciences	1
1218	grid.7445.2	Clinical Sciences	1
1219	grid.7445.2	Neurosciences	1
1220	grid.488779.d	Neurosciences	1
1221	grid.414382.8	Clinical Sciences	1
1222	grid.414382.8	Neurosciences	1
1223	grid.412220.7	Clinical Sciences	1
1224	grid.412220.7	Neurosciences	1
1225	grid.412220.7	Medical and Health Sciences	1
1226	grid.462844.8	Neurosciences	1
1227	grid.18887.3e	Neurosciences	1
1228	grid.460019.a	Clinical Sciences	1
1229	grid.460019.a	Medical and Health Sciences	1
1230	grid.8379.5	Clinical Sciences	1
1231	grid.419833.4	Clinical Sciences	1
1232	grid.419833.4	Medical and Health Sciences	1
1233	grid.492033.f	Clinical Sciences	1
1234	grid.7048.b	Good Health and Well Being	1
1235	grid.154185.c	Good Health and Well Being	1
1236	grid.465524.4	Good Health and Well Being	1
1237	grid.414148.c	Good Health and Well Being	1
1238	grid.28046.38	Good Health and Well Being	1
1239	grid.249335.a	Good Health and Well Being	1
