	id	name
0	grid.507417.0	Biomedicine Research Institute of Buenos Aires - CONICET - Partner Institute of the Max Planck Society
1	grid.494632.e	Max Planck Institutes Library
2	grid.419552.e	Max Planck Institute for Solid State Research
3	grid.419534.e	Max Planck Institute for Intelligent Systems
4	grid.429508.2	Max Planck Institute for Astronomy
5	grid.461768.a	Max Planck Institute for Comparative Public Law and International Law
6	grid.490102.e	Deutsches Zentrum für Musiktherapieforschung
7	grid.419604.e	Max Planck Institute for Nuclear Physics
8	grid.414703.5	Max Planck Institute for Medical Research
9	grid.500074.6	Max Planck Institut für Zellbiologie
10	grid.429509.3	Max Planck Institute of Immunobiology and Epigenetics
11	grid.507516.0	Max Planck Institute of Animal Behavior
12	grid.461774.7	Max Planck Institute for Foreign and International Criminal Law
13	grid.419495.4	Max Planck Institute for Developmental Biology
14	grid.419501.8	Max Planck Institute for Biological Cybernetics
15	grid.419580.1	Max Planck Institute for Biology
16	grid.418615.f	Max Planck Institute of Biochemistry
17	grid.450272.6	Max Planck Institute of Quantum Optics
18	grid.419542.f	Max Planck Institute for Ornithology
19	grid.450323.3	Halbleiterlabor of the Max-Planck-Society
20	grid.429510.b	Max Planck Institute of Neurobiology
21	grid.474028.d	Max Planck Innovation
22	grid.461804.f	Max Planck Institute for Plasma Physics
23	grid.431460.4	Max Planck Digital Library
24	grid.461808.3	Max Planck Institute for Tax Law and Public Finance
25	grid.470196.d	Max Planck Computing and Data Facility
26	grid.419548.5	Max Planck Institute of Psychiatry
27	grid.469479.1	Max Planck Institute for Innovation and Competition
28	grid.450265.0	Max Planck Institute for Extraterrestrial Physics
29	grid.4372.2	Max Planck Society
30	grid.435824.c	Max Planck Institute for Physics
31	grid.452596.9	Max Planck Institute for Astrophysics
32	grid.462523.4	Max Planck Institute for Social Law and Social Policy
33	grid.419562.d	Max Planck Institute for the Science of Light
34	grid.419529.2	Max Planck Institute for Marine Microbiology
35	grid.469852.4	Max Planck Institute for the Structure and Dynamics of Matter
36	grid.469476.e	Max Planck Unit for Structural Molecular Biology
37	grid.461770.3	Max Planck Institute for Comparative and International Private Law
38	grid.450268.d	Max Planck Institute for Meteorology
39	grid.419494.5	Max Planck Institute of Biophysics
40	grid.461782.e	Max Planck Institute for Empirical Aesthetics
41	grid.461787.b	Max Planck Institute for European Legal History
42	grid.418032.c	Max Planck Institute for Heart and Lung Research
43	grid.470209.8	Max Planck Research Unit for Neurogenetics
44	grid.419505.c	Max Planck Institute for Brain Research
45	grid.419554.8	Max Planck Institute for Terrestrial Microbiology
46	grid.418140.8	Max Planck Institute for Biophysical Chemistry
47	grid.477662.6	Nephrologisches Zentrum Goettingen
48	grid.418215.b	German Primate Center
49	grid.411984.1	Universitätsmedizin Göttingen
50	grid.491719.3	Evangelisches Krankenhaus Göttingen-Weende
51	grid.455091.c	Bernstein Center for Computational Neuroscience Göttingen
52	grid.418928.e	European Neuroscience Institute Göttingen
53	grid.461599.6	Göttingen Academy of Sciences and Humanities
54	grid.454072.0	Max Planck Institute for the Study of Religious and Ethnic Diversity
55	grid.7450.6	University of Göttingen
56	grid.461771.2	Laser-Laboratorium Göttingen
57	grid.434972.f	Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen
58	grid.506397.e	Institut für Wildbiologie Göttingen und Dresden
59	grid.435826.e	Max Planck Institute for Solar System Research
60	grid.419514.c	Max Planck Institute for Dynamics and Self-Organization
61	grid.419522.9	Max Planck Institute of Experimental Medicine
62	grid.419576.8	Max Planck Institute for Chemical Energy Conversion
63	grid.13829.31	Max Planck Institute for Iron Research
64	grid.419607.d	Max Planck Institute for Coal Research
65	grid.450267.2	Max Planck Institute for Radio Astronomy
66	grid.461813.9	Max Planck Institute for Research on Collective Goods
67	grid.419498.9	Max Planck Institute for Plant Breeding Research
68	grid.419502.b	Max Planck Institute for Biology of Ageing
69	grid.7551.6	German Aerospace Center
70	grid.418034.a	Max Planck Institute for Metabolism Research
71	grid.461798.5	Max Planck Institute for Mathematics
72	grid.461792.f	Max Planck Institute for the Study of Societies
73	grid.461801.a	Max Planck Institute for Molecular Biomedicine
74	grid.418441.c	Max Planck Institute of Molecular Physiology
75	grid.508488.9	Max Planck Institute for Security and Privacy
76	grid.419509.0	Max Planck Institute for Chemistry
77	grid.419547.a	Max Planck Institute for Polymer Research
78	grid.484448.0	Max Planck Graduate Center
79	grid.484444.c	Max Planck Center for Visual Computing and Communication
80	grid.419528.3	Max Planck Institute for Informatics
81	grid.469860.5	Max Planck Institute for Software Systems
82	grid.419520.b	Max Planck Institute for Evolutionary Biology
83	grid.450243.4	Max Planck Institute for Gravitational Physics
84	grid.419564.b	Max Planck Institute of Colloids and Interfaces
85	grid.418390.7	Max Planck Institute of Molecular Plant Physiology
86	grid.419511.9	Max Planck Institute for Demographic Research
87	grid.475228.e	Max Planck Institute for Plasma Physics - Greifswald
88	grid.419524.f	Max Planck Institute for Human Cognitive and Brain Sciences
89	grid.419507.e	Max Planck Institute for Chemical Physics of Solids
90	grid.419537.d	Max Planck Institute of Molecular Cell Biology and Genetics
91	grid.419532.8	Max Planck Institute for Mathematics in the Sciences
92	grid.419518.0	Max Planck Institute for Evolutionary Anthropology
93	grid.419560.f	Max Planck Institute for the Physics of Complex Systems
94	grid.450270.4	Max Planck Institute of Microstructure Physics
95	grid.461785.9	Max Planck Institute for Social Anthropology
96	grid.419517.f	Max Planck Institute for Dynamics of Complex Technical Systems
97	grid.462530.6	Max Planck Research Unit for Enzymology of Protein Folding
98	grid.469873.7	Max Planck Institute for the Science of Human History
99	grid.419500.9	Max Planck Institute for Biogeochemistry
100	grid.418160.a	Max Planck Institute for Chemical Ecology
101	grid.418028.7	Fritz Haber Institute of the Max Planck Society
102	grid.419538.2	Max Planck Institute for Molecular Genetics
103	grid.419526.d	Max Planck Institute for Human Development
104	grid.507437.2	Max Planck Unit for the Science of Pathogens
105	grid.493927.2	German Aerospace Industries Association
106	grid.419556.a	Max Planck Institute for the History of Science
107	grid.418159.0	Max Planck Institute for Infection Biology
108	grid.461961.d	Bibliotheca Hertziana – Max Planck Institute for Art History
109	grid.417584.b	Corporation for Production and Research of Laboratory Primates
110	grid.418948.8	Institute of Primate Research
111	grid.495999.1	Korea Foundation for Max Planck POSTECH
112	grid.470201.0	Max Planck Institute Luxemburg for International, European and Regulatory Procedural Law
